,Expenditure category,Date,Unadjusted CPI Index
0,All items,2014-01-01,233.916
1,Food,2014-01-01,238.872
2,Food at home,2014-01-01,235.356
3,Cereals and bakery products,2014-01-01,271.151
4,Cereals and cereal products,2014-01-01,233.757
5,Flour and prepared flour mixes,2014-01-01,252.615
6,Breakfast cereal(4),2014-01-01,229.455
7,"Rice, pasta, cornmeal(4)",2014-01-01,238.751
8,Rice(4)(5)(6),2014-01-01,170.664
9,Bakery products,2014-01-01,292.134
10,Bread(5),2014-01-01,176.015
11,White bread(4)(6),2014-01-01,322.423
12,Bread other than white(4)(6),2014-01-01,337.979
13,"Fresh biscuits, rolls, muffins(4)(5)",2014-01-01,171.114
14,"Cakes, cupcakes, and cookies",2014-01-01,272.55
15,Cookies(4)(6),2014-01-01,265.111
16,Fresh cakes and cupcakes(4)(6),2014-01-01,281.612
17,Other bakery products,2014-01-01,265.642
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2014-01-01,295.183
19,"Crackers, bread, and cracker products(6)",2014-01-01,306.159
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2014-01-01,269.355
21,"Meats, poultry, fish, and eggs",2014-01-01,240.158
22,"Meats, poultry, and fish",2014-01-01,240.339
23,Meats,2014-01-01,237.374
24,Beef and veal(4),2014-01-01,270.8
25,Uncooked ground beef(4),2014-01-01,248.864
26,Uncooked beef roasts(4)(5),2014-01-01,196.519
27,Uncooked beef steaks(4)(5),2014-01-01,181.533
28,Uncooked other beef and veal(4)(5),2014-01-01,196.146
29,Pork,2014-01-01,211.646
30,"Bacon, breakfast sausage, and related products(5)",2014-01-01,159.07
31,Bacon and related products(6),2014-01-01,289.675
32,Breakfast sausage and related products(5)(6),2014-01-01,146.703
33,Ham,2014-01-01,200.784
34,"Ham, excluding canned(6)",2014-01-01,224.742
35,Pork chops,2014-01-01,190.0
36,Other pork including roasts and picnics(5),2014-01-01,127.418
37,Other meats,2014-01-01,212.639
38,Frankfurters(6),2014-01-01,209.436
39,Lunchmeats(4)(5)(6),2014-01-01,138.149
40,Lamb and organ meats(4)(6),2014-01-01,302.03
41,Lamb and mutton(4)(5)(6),2014-01-01,171.683
42,Poultry,2014-01-01,234.232
43,Chicken(5),2014-01-01,149.926
44,Fresh whole chicken(4)(6),2014-01-01,245.846
45,Fresh and frozen chicken parts(4)(6),2014-01-01,224.433
46,Other poultry including turkey(5),2014-01-01,156.19
47,Fish and seafood(4),2014-01-01,283.814
48,Fresh fish and seafood(4)(5),2014-01-01,170.336
49,Processed fish and seafood(5),2014-01-01,147.271
50,Shelf stable fish and seafood(4)(6),2014-01-01,200.062
51,Frozen fish and seafood(6),2014-01-01,315.235
52,Eggs,2014-01-01,237.216
53,Dairy and related products(4),2014-01-01,219.362
54,Milk(4)(5),2014-01-01,153.015
55,Fresh whole milk(4)(6),2014-01-01,221.937
56,Fresh milk other than whole(4)(5)(6),2014-01-01,155.807
57,Cheese and related products(4),2014-01-01,220.996
58,Ice cream and related products,2014-01-01,219.158
59,Other dairy and related products(5),2014-01-01,142.493
60,Fruits and vegetables,2014-01-01,292.095
61,Fresh fruits and vegetables,2014-01-01,335.58
62,Fresh fruits,2014-01-01,348.921
63,Apples,2014-01-01,322.629
64,Bananas,2014-01-01,202.63
65,Citrus fruits(5),2014-01-01,210.222
66,"Oranges, including tangerines(6)",2014-01-01,428.996
67,Other fresh fruits(5),2014-01-01,124.21
68,Fresh vegetables,2014-01-01,320.341
69,Potatoes,2014-01-01,331.437
70,Lettuce,2014-01-01,295.231
