,Expenditure category,Date,Unadjusted CPI Index
0,All items,2019-01-01,251.712
1,Food,2019-01-01,256.417
2,Food at home,2019-01-01,241.381
3,Cereals and bakery products,2019-01-01,275.05
4,Cereals and cereal products,2019-01-01,225.52
5,Flour and prepared flour mixes,2019-01-01,236.887
6,Breakfast cereal(5),2019-01-01,219.572
7,"Rice, pasta, cornmeal(5)",2019-01-01,234.9
8,Rice(5)(6)(7),2019-01-01,162.95
9,Bakery products(5),2019-01-01,303.681
10,Bread(5)(6),2019-01-01,182.471
11,White bread(5)(7),2019-01-01,331.374
12,Bread other than white(5)(7),2019-01-01,355.094
13,"Fresh biscuits, rolls, muffins(6)",2019-01-01,182.847
14,"Cakes, cupcakes, and cookies",2019-01-01,289.577
15,Cookies(7),2019-01-01,270.557
16,Fresh cakes and cupcakes(5)(7),2019-01-01,313.592
17,Other bakery products,2019-01-01,268.355
18,"Fresh sweetrolls, coffeecakes, doughnuts(5)(7)",2019-01-01,305.611
19,"Crackers, bread, and cracker products(7)",2019-01-01,305.473
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(7)",2019-01-01,269.525
21,"Meats, poultry, fish, and eggs",2019-01-01,248.169
22,"Meats, poultry, and fish",2019-01-01,250.461
23,Meats,2019-01-01,251.079
24,Beef and veal,2019-01-01,301.93
25,Uncooked ground beef(5),2019-01-01,266.971
26,Uncooked beef roasts(5)(6),2019-01-01,226.437
27,Uncooked beef steaks(6),2019-01-01,203.489
28,Uncooked other beef and veal(5)(6),2019-01-01,241.675
29,Pork,2019-01-01,208.362
30,"Bacon, breakfast sausage, and related products(6)",2019-01-01,158.639
31,Bacon and related products(7),2019-01-01,296.811
32,Breakfast sausage and related products(6)(7),2019-01-01,144.631
33,Ham,2019-01-01,195.364
34,"Ham, excluding canned(7)",2019-01-01,217.434
35,Pork chops(5),2019-01-01,180.888
36,"Other pork including roasts, steaks, and ribs(6)",2019-01-01,125.793
37,Other meats,2019-01-01,222.634
38,Frankfurters(7),2019-01-01,233.952
39,Lunchmeats(6)(7),2019-01-01,142.249
40,Lamb and organ meats(5)(7),2019-01-01,
41,Lamb and mutton(5)(6)(7),2019-01-01,
42,Poultry(5),2019-01-01,230.124
43,Chicken(5)(6),2019-01-01,149.588
44,Fresh whole chicken(5)(7),2019-01-01,243.507
45,Fresh and frozen chicken parts(5)(7),2019-01-01,223.758
46,Other uncooked poultry including turkey(6),2019-01-01,143.231
47,Fish and seafood,2019-01-01,299.646
48,Fresh fish and seafood(6),2019-01-01,187.271
49,Processed fish and seafood(6),2019-01-01,148.799
50,Shelf stable fish and seafood(5)(7),2019-01-01,214.142
51,Frozen fish and seafood(7),2019-01-01,307.854
52,Eggs,2019-01-01,218.796
53,Dairy and related products,2019-01-01,217.079
54,Milk(6),2019-01-01,138.346
55,Fresh whole milk(7),2019-01-01,196.967
56,Fresh milk other than whole(6)(7),2019-01-01,143.629
57,Cheese and related products(5),2019-01-01,226.001
58,Ice cream and related products,2019-01-01,225.417
59,Other dairy and related products(5)(6),2019-01-01,147.667
60,Fruits and vegetables,2019-01-01,304.605
61,Fresh fruits and vegetables,2019-01-01,356.574
62,Fresh fruits,2019-01-01,367.988
63,Apples,2019-01-01,333.29
64,Bananas(5),2019-01-01,194.69
65,Citrus fruits(6),2019-01-01,253.891
66,"Oranges, including tangerines(7)",2019-01-01,498.808
67,Other fresh fruits(6),2019-01-01,125.785
68,Fresh vegetables,2019-01-01,343.209
69,Potatoes,2019-01-01,351.356
70,Lettuce,2019-01-01,313.112
71,Tomatoes(5),2019-01-01,359.433
72,Other fresh vegetables,2019-01-01,348.098
73,Processed fruits and vegetables(6),2019-01-01,153.654
74,Canned fruits and vegetables(6),2019-01-01,160.057
75,Canned fruits(6)(7),2019-01-01,155.079
76,Canned vegetables(6)(7),2019-01-01,168.814
77,Frozen fruits and vegetables(6),2019-01-01,142.085
78,Frozen vegetables(7),2019-01-01,194.077
79,Other processed fruits and vegetables including dried(6),2019-01-01,153.081
80,"Dried beans, peas, and lentils(5)(6)(7)",2019-01-01,178.921
81,Nonalcoholic beverages and beverage materials,2019-01-01,171.354
82,Juices and nonalcoholic drinks(6),2019-01-01,133.95
83,Carbonated drinks,2019-01-01,170.574
84,Frozen noncarbonated juices and drinks(5)(6),2019-01-01,180.513
