,Area,Date,Unadjusted CPI Index
0,U.S. city average,2019-01-01,251.712
1,Region and area size(2),2019-01-01,
2,Northeast,2019-01-01,266.109
3,Northeast - Size Class A,2019-01-01,269.354
4,Northeast - Size Class B/C(3),2019-01-01,156.632
5,New England(4),2019-01-01,102.705
6,Middle Atlantic(4),2019-01-01,101.804
7,Midwest,2019-01-01,233.837
8,Midwest - Size Class A,2019-01-01,234.773
9,Midwest - Size Class B/C(3),2019-01-01,149.383
10,East North Central(4),2019-01-01,101.457
11,West North Central(4),2019-01-01,101.363
12,South,2019-01-01,242.547
13,South - Size Class A,2019-01-01,247.112
14,South - Size Class B/C(3),2019-01-01,153.212
15,South Atlantic(4),2019-01-01,102.18
16,East South Central(4),2019-01-01,101.116
17,West South Central(4),2019-01-01,101.07
18,West,2019-01-01,265.624
19,West - Size Class A,2019-01-01,274.142
20,West - Size Class B/C(3),2019-01-01,154.328
21,Mountain(4),2019-01-01,102.715
22,Pacific(4),2019-01-01,103.401
23,Size classes,2019-01-01,
24,Size Class A(5),2019-01-01,232.214
25,Size Class B/C(3),2019-01-01,153.156
26,Selected local areas,2019-01-01,
27,"Chicago-Naperville-Elgin, IL-IN-WI",2019-01-01,238.218
28,"Los Angeles-Long Beach-Anaheim, CA",2019-01-01,269.468
29,"New York-Newark-Jersey City, NY-NJ-PA",2019-01-01,275.144
30,"Atlanta-Sandy Springs-Roswell, GA",2019-01-01,
31,"Baltimore-Columbia-Towson, MD(6)",2019-01-01,
32,"Detroit-Warren-Dearborn, MI",2019-01-01,
33,"Houston-The Woodlands-Sugar Land, TX",2019-01-01,
34,"Miami-Fort Lauderdale-West Palm Beach, FL",2019-01-01,
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019-01-01,
36,"Phoenix-Mesa-Scottsdale, AZ(7)",2019-01-01,
37,"San Francisco-Oakland-Hayward, CA",2019-01-01,
38,"Seattle-Tacoma-Bellevue, WA",2019-01-01,
39,"St. Louis, MO-IL",2019-01-01,
40,Urban Alaska,2019-01-01,
41,"Boston-Cambridge-Newton, MA-NH",2019-01-01,278.976
42,"Dallas-Fort Worth-Arlington, TX",2019-01-01,233.915
43,"Denver-Aurora-Lakewood, CO",2019-01-01,260.942
44,"Minneapolis-St.Paul-Bloomington, MN-WI",2019-01-01,245.2
45,"Riverside-San Bernardino-Ontario, CA(4)",2019-01-01,103.991
46,"San Diego-Carlsbad, CA",2019-01-01,295.761
47,"Tampa-St. Petersburg-Clearwater, FL(8)",2019-01-01,222.774
48,Urban Hawaii,2019-01-01,279.005
49,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2019-01-01,262.304
50,U.S. city average,2019-02-01,252.776
51,Region and area size(2),2019-02-01,
52,Northeast,2019-02-01,266.706
53,Northeast - Size Class A,2019-02-01,270.239
54,Northeast - Size Class B/C(3),2019-02-01,156.772
55,New England(4),2019-02-01,102.64
56,Middle Atlantic(4),2019-02-01,102.137
57,Midwest,2019-02-01,235.444
