,Expenditure category,Date,Unadjusted CPI Index
0,All items,2015-01-01,233.707
1,Food,2015-01-01,246.538
2,Food at home,2015-01-01,243.123
3,Cereals and bakery products,2015-01-01,273.589
4,Cereals and cereal products,2015-01-01,234.274
5,Flour and prepared flour mixes,2015-01-01,252.864
6,Breakfast cereal(4),2015-01-01,229.484
7,"Rice, pasta, cornmeal(4)",2015-01-01,240.148
8,Rice(4)(5)(6),2015-01-01,168.316
9,Bakery products,2015-01-01,295.736
10,Bread(5),2015-01-01,177.851
11,White bread(4)(6),2015-01-01,323.078
12,Bread other than white(4)(6),2015-01-01,341.932
13,"Fresh biscuits, rolls, muffins(4)(5)",2015-01-01,176.441
14,"Cakes, cupcakes, and cookies",2015-01-01,277.375
15,Cookies(4)(6),2015-01-01,269.384
16,Fresh cakes and cupcakes(4)(6),2015-01-01,286.946
17,Other bakery products,2015-01-01,265.872
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2015-01-01,293.533
19,"Crackers, bread, and cracker products(6)",2015-01-01,305.606
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2015-01-01,271.098
21,"Meats, poultry, fish, and eggs",2015-01-01,260.982
22,"Meats, poultry, and fish",2015-01-01,261.261
23,Meats,2015-01-01,267.215
24,Beef and veal(4),2015-01-01,322.162
25,Uncooked ground beef(4),2015-01-01,301.04
26,Uncooked beef roasts(4)(5),2015-01-01,239.039
27,Uncooked beef steaks(4)(5),2015-01-01,208.501
28,Uncooked other beef and veal(4)(5),2015-01-01,240.269
29,Pork,2015-01-01,227.345
30,"Bacon, breakfast sausage, and related products(5)",2015-01-01,162.666
31,Bacon and related products(6),2015-01-01,289.399
32,Breakfast sausage and related products(5)(6),2015-01-01,155.813
33,Ham,2015-01-01,223.955
34,"Ham, excluding canned(6)",2015-01-01,252.296
35,Pork chops,2015-01-01,205.545
36,Other pork including roasts and picnics(5),2015-01-01,143.09
37,Other meats,2015-01-01,228.187
38,Frankfurters(6),2015-01-01,231.091
39,Lunchmeats(5)(6),2015-01-01,147.264
40,Lamb and organ meats(4)(6),2015-01-01,326.113
41,Lamb and mutton(4)(5)(6),2015-01-01,177.23
42,Poultry,2015-01-01,238.923
43,Chicken(4)(5),2015-01-01,154.25
44,Fresh whole chicken(4)(6),2015-01-01,260.875
45,Fresh and frozen chicken parts(4)(6),2015-01-01,227.669
46,Other poultry including turkey(5),2015-01-01,153.563
47,Fish and seafood(4),2015-01-01,290.187
48,Fresh fish and seafood(5),2015-01-01,176.381
