,Area,Date,Unadjusted CPI Index
0,U.S. city average,2018-01-01,247.867
1,Region and area size(2),2018-01-01,
2,Northeast,2018-01-01,262.188
3,Northeast - Size Class A,2018-01-01,265.109
4,Northeast - Size Class B/C(3),2018-01-01,154.533
5,New England(4),2018-01-01,100.7
6,Middle Atlantic(4),2018-01-01,100.477
7,Midwest,2018-01-01,232.028
8,Midwest - Size Class A,2018-01-01,232.913
9,Midwest - Size Class B/C(3),2018-01-01,148.245
10,East North Central(4),2018-01-01,100.694
11,West North Central(4),2018-01-01,100.533
12,South,2018-01-01,239.772
13,South - Size Class A,2018-01-01,243.431
14,South - Size Class B/C(3),2018-01-01,151.752
15,South Atlantic(4),2018-01-01,100.652
16,East South Central(4),2018-01-01,100.553
17,West South Central(4),2018-01-01,100.287
18,West,2018-01-01,258.638
19,West - Size Class A,2018-01-01,266.498
20,West - Size Class B/C(3),2018-01-01,150.564
21,Mountain(4),2018-01-01,100.45
22,Pacific(4),2018-01-01,100.521
23,Size classes,2018-01-01,
24,Size Class A(5),2018-01-01,228.024
25,Size Class B/C(3),2018-01-01,151.17
26,Selected local areas,2018-01-01,
27,"Chicago-Naperville-Elgin, IL-IN-WI",2018-01-01,236.267
28,"Los Angeles-Long Beach-Anaheim, CA",2018-01-01,261.235
29,"New York-Newark-Jersey City, NY-NJ-PA",2018-01-01,270.771
30,"Atlanta-Sandy Springs-Roswell, GA",2018-01-01,
31,"Baltimore-Columbia-Towson, MD(6)",2018-01-01,
32,"Detroit-Warren-Dearborn, MI",2018-01-01,
33,"Houston-The Woodlands-Sugar Land, TX",2018-01-01,
34,"Miami-Fort Lauderdale-West Palm Beach, FL",2018-01-01,
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018-01-01,
36,"Phoenix-Mesa-Scottsdale, AZ(7)",2018-01-01,
37,"San Francisco-Oakland-Hayward, CA",2018-01-01,
38,"Seattle-Tacoma-Bellevue, WA",2018-01-01,
39,"St. Louis, MO-IL",2018-01-01,
40,Urban Alaska,2018-01-01,
41,"Boston-Cambridge-Newton, MA-NH",2018-01-01,272.229
42,"Dallas-Fort Worth-Arlington, TX",2018-01-01,229.132
43,"Denver-Aurora-Lakewood, CO",2018-01-01,259.907
44,"Minneapolis-St.Paul-Bloomington, MN-WI",2018-01-01,241.798
45,"Riverside-San Bernardino-Ontario, CA(4)",2018-01-01,100.916
46,"San Diego-Carlsbad, CA",2018-01-01,288.331
47,"Tampa-St. Petersburg-Clearwater, FL(8)",2018-01-01,221.794
48,Urban Hawaii,2018-01-01,273.909
49,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2018-01-01,260.219
50,U.S. city average,2018-02-01,248.991
51,Region and area size(2),2018-02-01,
52,Northeast,2018-02-01,263.26
53,Northeast - Size Class A,2018-02-01,266.341
54,Northeast - Size Class B/C(3),2018-02-01,155.053
55,New England(4),2018-02-01,101.068
56,Middle Atlantic(4),2018-02-01,100.904
57,Midwest,2018-02-01,232.512
58,Midwest - Size Class A,2018-02-01,233.202
59,Midwest - Size Class B/C(3),2018-02-01,148.635
60,East North Central(4),2018-02-01,100.78
61,West North Central(4),2018-02-01,101.001
62,South,2018-02-01,241.123
63,South - Size Class A,2018-02-01,245.367
64,South - Size Class B/C(3),2018-02-01,152.413
65,South Atlantic(4),2018-02-01,101.275
66,East South Central(4),2018-02-01,100.987
67,West South Central(4),2018-02-01,100.815
68,West,2018-02-01,259.986
69,West - Size Class A,2018-02-01,268.106
70,West - Size Class B/C(3),2018-02-01,151.2
71,Mountain(4),2018-02-01,100.905
72,Pacific(4),2018-02-01,101.07
73,Size classes,2018-02-01,
74,Size Class A(5),2018-02-01,229.259
75,Size Class B/C(3),2018-02-01,151.745
76,Selected local areas,2018-02-01,
77,"Chicago-Naperville-Elgin, IL-IN-WI",2018-02-01,236.306
78,"Los Angeles-Long Beach-Anaheim, CA",2018-02-01,263.012
79,"New York-Newark-Jersey City, NY-NJ-PA",2018-02-01,272.214
80,"Atlanta-Sandy Springs-Roswell, GA",2018-02-01,237.0
81,"Baltimore-Columbia-Towson, MD(6)",2018-02-01,252.35
82,"Detroit-Warren-Dearborn, MI",2018-02-01,229.715
83,"Houston-The Woodlands-Sugar Land, TX",2018-02-01,224.711
84,"Miami-Fort Lauderdale-West Palm Beach, FL",2018-02-01,264.99
85,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018-02-01,249.567
86,"Phoenix-Mesa-Scottsdale, AZ(7)",2018-02-01,136.774
87,"San Francisco-Oakland-Hayward, CA",2018-02-01,281.308
88,"Seattle-Tacoma-Bellevue, WA",2018-02-01,268.031
89,"St. Louis, MO-IL",2018-02-01,227.052
90,Urban Alaska,2018-02-01,221.679
91,"Boston-Cambridge-Newton, MA-NH",2018-02-01,
92,"Dallas-Fort Worth-Arlington, TX",2018-02-01,
93,"Denver-Aurora-Lakewood, CO",2018-02-01,
94,"Minneapolis-St.Paul-Bloomington, MN-WI",2018-02-01,
95,"Riverside-San Bernardino-Ontario, CA(4)",2018-02-01,
96,"San Diego-Carlsbad, CA",2018-02-01,
97,"Tampa-St. Petersburg-Clearwater, FL(8)",2018-02-01,
98,Urban Hawaii,2018-02-01,
99,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2018-02-01,
100,U.S. city average,{year}-03-01,249.554
101,Region and area size(2),{year}-03-01,
102,Northeast,{year}-03-01,263.556
103,Northeast - Size Class A,{year}-03-01,266.612
104,Northeast - Size Class B/C(3),{year}-03-01,155.249
105,New England(4),{year}-03-01,101.367
106,Middle Atlantic(4),{year}-03-01,100.952
107,Midwest,{year}-03-01,232.931
108,Midwest - Size Class A,{year}-03-01,233.584
109,Midwest - Size Class B/C(3),{year}-03-01,148.919
110,East North Central(4),{year}-03-01,100.903
111,West North Central(4),{year}-03-01,101.306
112,South,{year}-03-01,241.595
113,South - Size Class A,{year}-03-01,245.334
114,South - Size Class B/C(3),{year}-03-01,152.888
115,South Atlantic(4),{year}-03-01,101.575
116,East South Central(4),{year}-03-01,101.314
117,West South Central(4),{year}-03-01,100.762
118,West,{year}-03-01,260.994
119,West - Size Class A,{year}-03-01,269.271
120,West - Size Class B/C(3),{year}-03-01,151.702
121,Mountain(4),{year}-03-01,101.196
122,Pacific(4),{year}-03-01,101.499
123,Size classes,{year}-03-01,
124,Size Class A(5),{year}-03-01,229.681
125,Size Class B/C(3),{year}-03-01,152.141
126,Selected local areas,{year}-03-01,
127,"Chicago-Naperville-Elgin, IL-IN-WI",{year}-03-01,236.388
128,"Los Angeles-Long Beach-Anaheim, CA",{year}-03-01,264.158
129,"New York-Newark-Jersey City, NY-NJ-PA",{year}-03-01,272.196
130,"Atlanta-Sandy Springs-Roswell, GA",{year}-03-01,
131,"Baltimore-Columbia-Towson, MD(6)",{year}-03-01,
132,"Detroit-Warren-Dearborn, MI",{year}-03-01,
133,"Houston-The Woodlands-Sugar Land, TX",{year}-03-01,
134,"Miami-Fort Lauderdale-West Palm Beach, FL",{year}-03-01,
135,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",{year}-03-01,
136,"Phoenix-Mesa-Scottsdale, AZ(7)",{year}-03-01,
137,"San Francisco-Oakland-Hayward, CA",{year}-03-01,
138,"Seattle-Tacoma-Bellevue, WA",{year}-03-01,
139,"St. Louis, MO-IL",{year}-03-01,
140,Urban Alaska,{year}-03-01,
141,"Boston-Cambridge-Newton, MA-NH",{year}-03-01,274.591
142,"Dallas-Fort Worth-Arlington, TX",{year}-03-01,230.272
143,"Denver-Aurora-Lakewood, CO",{year}-03-01,260.595
144,"Minneapolis-St.Paul-Bloomington, MN-WI",{year}-03-01,243.112
145,"Riverside-San Bernardino-Ontario, CA(4)",{year}-03-01,101.897
146,"San Diego-Carlsbad, CA",{year}-03-01,290.81
147,"Tampa-St. Petersburg-Clearwater, FL(8)",{year}-03-01,223.157
148,Urban Hawaii,{year}-03-01,275.408
149,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",{year}-03-01,260.026
150,U.S. city average,2018-04-01,250.546
151,Region and area size(2),2018-04-01,
152,Northeast,2018-04-01,264.669
153,Northeast - Size Class A,2018-04-01,267.641
154,Northeast - Size Class B/C(3),2018-04-01,155.977
155,New England(4),2018-04-01,101.815
156,Middle Atlantic(4),2018-04-01,101.371
157,Midwest,2018-04-01,233.913
158,Midwest - Size Class A,2018-04-01,234.666
159,Midwest - Size Class B/C(3),2018-04-01,149.506
160,East North Central(4),2018-04-01,101.429
161,West North Central(4),2018-04-01,101.523
162,South,2018-04-01,242.486
163,South - Size Class A,2018-04-01,246.305
164,South - Size Class B/C(3),2018-04-01,153.429
165,South Atlantic(4),2018-04-01,101.795
166,East South Central(4),2018-04-01,101.786
167,West South Central(4),2018-04-01,101.371
168,West,2018-04-01,262.037
