,Expenditure category,Date,Unadjusted CPI Index
0,All items,2022-01-01,281.148
1,Food,2022-01-01,289.772
2,Food at home,2022-01-01,270.711
3,Cereals and bakery products,2022-01-01,302.242
4,Cereals and cereal products,2022-01-01,246.536
5,Flour and prepared flour mixes,2022-01-01,264.478
6,Breakfast cereal(4),2022-01-01,238.165
7,"Rice, pasta, cornmeal",2022-01-01,255.463
8,Rice(4)(5)(6),2022-01-01,172.596
9,Bakery products(4),2022-01-01,334.55
10,Bread(4)(5),2022-01-01,202.802
11,White bread(4)(6),2022-01-01,365.274
12,Bread other than white(4)(6),2022-01-01,398.061
13,"Fresh biscuits, rolls, muffins(5)",2022-01-01,197.864
14,"Cakes, cupcakes, and cookies(4)",2022-01-01,315.217
15,Cookies(4)(6),2022-01-01,294.312
16,Fresh cakes and cupcakes(4)(6),2022-01-01,336.662
17,Other bakery products,2022-01-01,298.282
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2022-01-01,346.638
19,"Crackers, bread, and cracker products(6)",2022-01-01,350.407
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(4)(6)",2022-01-01,287.687
21,"Meats, poultry, fish, and eggs",2022-01-01,298.441
22,"Meats, poultry, and fish",2022-01-01,303.03
23,Meats,2022-01-01,311.191
24,Beef and veal,2022-01-01,386.953
25,Uncooked ground beef(4),2022-01-01,327.558
26,Uncooked beef roasts(4)(5),2022-01-01,308.437
27,Uncooked beef steaks(5),2022-01-01,262.132
28,Uncooked other beef and veal(4)(5),2022-01-01,325.486
29,Pork,2022-01-01,258.369
30,"Bacon, breakfast sausage, and related products(5)",2022-01-01,196.618
31,Bacon and related products(6),2022-01-01,377.828
32,Breakfast sausage and related products(5)(6),2022-01-01,171.056
33,Ham,2022-01-01,231.335
34,"Ham, excluding canned(6)",2022-01-01,258.472
35,Pork chops(4),2022-01-01,232.72
36,"Other pork including roasts, steaks, and ribs(5)",2022-01-01,159.208
37,Other meats,2022-01-01,257.304
38,Frankfurters(6),2022-01-01,260.003
39,Lunchmeats(4)(5)(6),2022-01-01,165.157
40,Poultry(4),2022-01-01,269.905
41,Chicken(4)(5),2022-01-01,174.096
42,Fresh whole chicken(4)(6),2022-01-01,277.98
43,Fresh and frozen chicken parts(4)(6),2022-01-01,263.296
44,Other uncooked poultry including turkey(5),2022-01-01,173.654
45,Fish and seafood,2022-01-01,343.868
46,Fresh fish and seafood(4)(5),2022-01-01,220.733
47,Processed fish and seafood(5),2022-01-01,166.105
48,Shelf stable fish and seafood(6),2022-01-01,229.03
49,Frozen fish and seafood(6),2022-01-01,353.041
50,Eggs(4),2022-01-01,238.225
51,Dairy and related products,2022-01-01,238.675
52,Milk(5),2022-01-01,161.713
53,Fresh whole milk(6),2022-01-01,237.014
54,Fresh milk other than whole(5)(6),2022-01-01,165.273
55,Cheese and related products(4),2022-01-01,244.895
56,Ice cream and related products,2022-01-01,237.231
57,Other dairy and related products(4)(5),2022-01-01,158.645
58,Fruits and vegetables,2022-01-01,327.451
59,Fresh fruits and vegetables,2022-01-01,379.065
60,Fresh fruits,2022-01-01,394.945
61,Apples,2022-01-01,343.824
62,Bananas(4),2022-01-01,203.353
63,Citrus fruits(5),2022-01-01,278.58
64,"Oranges, including tangerines(6)",2022-01-01,543.374
65,Other fresh fruits(5),2022-01-01,135.865
66,Fresh vegetables,2022-01-01,361.01
67,Potatoes,2022-01-01,375.764
68,Lettuce(4),2022-01-01,372.472
69,Tomatoes,2022-01-01,359.932
70,Other fresh vegetables,2022-01-01,358.774
71,Processed fruits and vegetables(5),2022-01-01,172.304
72,Canned fruits and vegetables(5),2022-01-01,181.418
73,Canned fruits(5)(6),2022-01-01,175.22
74,Canned vegetables(5)(6),2022-01-01,192.774
75,Frozen fruits and vegetables(5),2022-01-01,159.389
76,Frozen vegetables(6),2022-01-01,212.071
77,Other processed fruits and vegetables including dried(5),2022-01-01,166.376
78,"Dried beans, peas, and lentils(4)(5)(6)",2022-01-01,207.187
79,Nonalcoholic beverages and beverage materials,2022-01-01,188.719
80,Juices and nonalcoholic drinks(5),2022-01-01,148.707
81,Carbonated drinks,2022-01-01,191.568
82,Frozen noncarbonated juices and drinks(4)(5),2022-01-01,178.944
83,Nonfrozen noncarbonated juices and drinks(5),2022-01-01,133.25
84,Beverage materials including coffee and tea(5),2022-01-01,125.719
85,Coffee,2022-01-01,212.671
86,Roasted coffee(6),2022-01-01,223.356
87,Instant coffee(4)(6),2022-01-01,197.143
88,Other beverage materials including tea(4)(5),2022-01-01,135.107
89,Other food at home,2022-01-01,233.956
90,Sugar and sweets(4),2022-01-01,245.158
91,Sugar and sugar substitutes,2022-01-01,217.259
92,Candy and chewing gum(4)(5),2022-01-01,166.658
93,Other sweets(5),2022-01-01,168.285
94,Fats and oils,2022-01-01,256.387
95,Butter and margarine(5),2022-01-01,218.1
96,Butter(6),2022-01-01,255.302
97,Margarine(4)(6),2022-01-01,329.656
98,Salad dressing(5),2022-01-01,143.873
99,Other fats and oils including peanut butter(5),2022-01-01,185.347
100,Peanut butter(4)(5)(6),2022-01-01,180.815
101,Other foods,2022-01-01,248.709
102,Soups,2022-01-01,261.73
103,Frozen and freeze dried prepared foods,2022-01-01,187.512
104,Snacks(4),2022-01-01,276.331
105,"Spices, seasonings, condiments, sauces",2022-01-01,265.883
106,Salt and other seasonings and spices(5)(6),2022-01-01,169.219
107,"Olives, pickles, relishes(4)(5)(6)",2022-01-01,158.726
108,Sauces and gravies(5)(6),2022-01-01,152.921
109,Other condiments(6),2022-01-01,303.008
110,Baby food(4)(5),2022-01-01,186.204
111,Other miscellaneous foods(5),2022-01-01,147.038
112,Prepared salads(7)(6),2022-01-01,140.056
113,Food away from home(4),2022-01-01,319.471
114,Full service meals and snacks(4)(5),2022-01-01,197.808
115,Limited service meals and snacks(4)(5),2022-01-01,212.192
116,Food at employee sites and schools(4)(5),2022-01-01,83.735
117,Food at elementary and secondary schools(4)(8)(6),2022-01-01,47.741
118,Food from vending machines and mobile vendors(4)(5),2022-01-01,183.491
119,Other food away from home(4)(5),2022-01-01,211.806
120,,2022-01-01,
121,Energy,2022-01-01,260.653
122,Energy commodities,2022-01-01,297.454
123,Fuel oil and other fuels,2022-01-01,364.145
124,Fuel oil(4),2022-01-01,356.864
125,"Propane, kerosene, and firewood(9)",2022-01-01,444.168
126,Motor fuel,2022-01-01,291.767
127,Gasoline (all types),2022-01-01,290.416
128,"Gasoline, unleaded regular(6)",2022-01-01,284.96
129,"Gasoline, unleaded midgrade(10)(6)",2022-01-01,312.856
130,"Gasoline, unleaded premium(6)",2022-01-01,304.2
131,Other motor fuels(4)(5),2022-01-01,269.178
132,Energy services,2022-01-01,235.941
133,Electricity,2022-01-01,238.183
134,Utility (piped) gas service,2022-01-01,225.181
135,,2022-01-01,
136,All items less food and energy,2022-01-01,285.996
137,Commodities less food and energy commodities,2022-01-01,162.991
138,Household furnishings and supplies(11),2022-01-01,101.553
139,Window and floor coverings and other linens(4)(5),2022-01-01,59.776
140,Floor coverings(4)(5),2022-01-01,118.733
141,Window coverings(4)(5),2022-01-01,73.596
142,Other linens(4)(5),2022-01-01,43.972
143,Furniture and bedding(4),2022-01-01,134.732
144,Bedroom furniture(4),2022-01-01,145.874
145,"Living room, kitchen, and dining room furniture(4)(5)",2022-01-01,107.226
146,Other furniture(5),2022-01-01,84.278
147,Appliances(5),2022-01-01,88.254
148,Major appliances(5),2022-01-01,103.428
149,Laundry equipment(4)(6),2022-01-01,118.009
150,Other appliances(4)(5),2022-01-01,73.328
151,Other household equipment and furnishings(5),2022-01-01,53.975
152,"Clocks, lamps, and decorator items(4)",2022-01-01,40.012
153,Indoor plants and flowers(12),2022-01-01,144.629
154,Dishes and flatware(4)(5),2022-01-01,47.22
155,Nonelectric cookware and tableware(4)(5),2022-01-01,83.141
156,"Tools, hardware, outdoor equipment and supplies(5)",2022-01-01,102.35
157,"Tools, hardware and supplies(4)(5)",2022-01-01,109.426
158,Outdoor equipment and supplies(5),2022-01-01,99.118
159,Housekeeping supplies(4),2022-01-01,206.962
160,Household cleaning products(4)(5),2022-01-01,132.741
161,Household paper products(4)(5),2022-01-01,199.963
162,Miscellaneous household products(4)(5),2022-01-01,124.399
163,Apparel,2022-01-01,124.079
164,Men's and boys' apparel,2022-01-01,120.948
165,Men's apparel,2022-01-01,122.869
166,"Men's suits, sport coats, and outerwear",2022-01-01,98.443
167,"Men's underwear, nightwear, swimwear, and accessories(4)",2022-01-01,170.644
168,Men's shirts and sweaters(5),2022-01-01,75.174
169,Men's pants and shorts,2022-01-01,125.67
170,Boys' apparel,2022-01-01,111.432
171,Women's and girls' apparel,2022-01-01,101.805
172,Women's apparel,2022-01-01,102.766
173,Women's outerwear,2022-01-01,100.717
174,Women's dresses,2022-01-01,100.998
175,Women's suits and separates(5),2022-01-01,69.732
176,"Women's underwear, nightwear, swimwear, and accessories(5)",2022-01-01,103.677
177,Girls' apparel,2022-01-01,96.78
178,Footwear,2022-01-01,141.803
179,Men's footwear(4),2022-01-01,147.901
180,Boys' and girls' footwear,2022-01-01,162.38
181,Women's footwear,2022-01-01,127.319
182,Infants' and toddlers' apparel,2022-01-01,118.218
183,Jewelry and watches(9),2022-01-01,190.928
184,Watches(4)(9),2022-01-01,152.118
185,Jewelry(9),2022-01-01,189.367
186,Transportation commodities less motor fuel(11),2022-01-01,134.285
187,New vehicles,2022-01-01,167.582
188,New cars(6),2022-01-01,163.15
189,New trucks(13)(6),2022-01-01,178.47
190,Used cars and trucks,2022-01-01,210.293
191,Motor vehicle parts and equipment(4),2022-01-01,167.991
192,Tires(4),2022-01-01,144.773
193,Vehicle accessories other than tires(4)(5),2022-01-01,197.828
194,Vehicle parts and equipment other than tires(4)(6),2022-01-01,184.136
195,"Motor oil, coolant, and fluids(4)(6)",2022-01-01,438.398
196,Medical care commodities(4),2022-01-01,382.984
197,Medicinal drugs(4)(11),2022-01-01,125.504
198,Prescription drugs(4),2022-01-01,532.044
199,Nonprescription drugs(4)(11),2022-01-01,96.42
200,Medical equipment and supplies(4)(11),2022-01-01,98.971
201,Recreation commodities(11),2022-01-01,82.849
202,Video and audio products(11),2022-01-01,36.582
203,Televisions,2022-01-01,1.395
204,Other video equipment(5),2022-01-01,9.449
205,Audio equipment(4),2022-01-01,25.621
206,Recorded music and music subscriptions(4)(5),2022-01-01,79.855
207,Pets and pet products(4),2022-01-01,209.441
208,Pet food(4)(5)(6),2022-01-01,159.179
209,"Purchase of pets, pet supplies, accessories(4)(5)(6)",2022-01-01,121.095
210,Sporting goods(4),2022-01-01,126.795
211,Sports vehicles including bicycles(4),2022-01-01,177.096
212,Sports equipment(4),2022-01-01,85.159
213,Photographic equipment and supplies,2022-01-01,58.838
214,Photographic equipment(5)(6),2022-01-01,24.794
215,Recreational reading materials(4),2022-01-01,274.72
216,Newspapers and magazines(4)(5),2022-01-01,207.647
217,Recreational books(4)(5),2022-01-01,98.459
218,Other recreational goods(5),2022-01-01,34.065
219,Toys,2022-01-01,29.55
220,"Toys, games, hobbies and playground equipment(5)(6)",2022-01-01,39.181
221,"Sewing machines, fabric and supplies(4)(5)",2022-01-01,94.736
222,Music instruments and accessories(4)(5),2022-01-01,111.143
223,Education and communication commodities(11),2022-01-01,67.846
224,Educational books and supplies(4),2022-01-01,702.326
225,College textbooks(4)(14)(6),2022-01-01,240.959
226,Information technology commodities(11),2022-01-01,47.849
227,"Computers, peripherals, and smart home assistants(4)(7)",2022-01-01,39.651
228,Computer software and accessories(4)(5),2022-01-01,25.746
229,"Telephone hardware, calculators, and other consumer information items(5)",2022-01-01,11.393
230,Smartphones(4)(6)(15),2022-01-01,70.535
231,Alcoholic beverages,2022-01-01,266.749
232,Alcoholic beverages at home,2022-01-01,213.595
233,"Beer, ale, and other malt beverages at home",2022-01-01,243.472
234,Distilled spirits at home(4),2022-01-01,204.032
235,Whiskey at home(4)(6),2022-01-01,216.591
236,"Distilled spirits, excluding whiskey, at home(4)(6)",2022-01-01,200.126
237,Wine at home(4),2022-01-01,174.771
238,Alcoholic beverages away from home(4),2022-01-01,383.554
239,"Beer, ale, and other malt beverages away from home(4)(5)(6)",2022-01-01,188.532
240,Wine away from home(4)(5)(6),2022-01-01,205.701
241,Distilled spirits away from home(4)(5)(6),2022-01-01,211.264
242,Other goods(11),2022-01-01,123.603
243,Tobacco and smoking products(4),2022-01-01,1306.913
244,Cigarettes(4)(5),2022-01-01,539.197
245,Tobacco products other than cigarettes(4)(5),2022-01-01,308.292
246,Personal care products(4),2022-01-01,160.224
247,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",2022-01-01,105.278
248,"Cosmetics, perfume, bath, nail preparations and implements(4)",2022-01-01,176.817
249,Miscellaneous personal goods(4)(5),2022-01-01,82.192
250,"Stationery, stationery supplies, gift wrap(6)",2022-01-01,173.333
251,Services less energy services,2022-01-01,361.397
252,Shelter,2022-01-01,342.604
253,Rent of shelter(16),2022-01-01,357.543
254,Rent of primary residence,2022-01-01,357.737
255,Lodging away from home(5),2022-01-01,163.968
256,"Housing at school, excluding board(16)",2022-01-01,592.135
257,Other lodging away from home including hotels and motels,2022-01-01,332.464
258,Owners' equivalent rent of residences(16),2022-01-01,352.005
259,Owners' equivalent rent of primary residence(16),2022-01-01,352.014
260,Tenants' and household insurance(4)(5),2022-01-01,149.942
261,Water and sewer and trash collection services(5),2022-01-01,268.128
262,Water and sewerage maintenance,2022-01-01,620.547
263,Garbage and trash collection(4)(13),2022-01-01,533.078
