,Expenditure category,Date,Unadjusted CPI Index
0,All items,2017-01-01,242.839
1,Food,2017-01-01,248.242
2,Food at home,2017-01-01,237.365
3,Cereals and bakery products,2017-01-01,272.922
4,Cereals and cereal products,2017-01-01,229.374
5,Flour and prepared flour mixes,2017-01-01,239.922
6,Breakfast cereal(4),2017-01-01,225.002
7,"Rice, pasta, cornmeal(4)",2017-01-01,237.498
8,Rice(4)(5)(6),2017-01-01,161.789
9,Bakery products(4),2017-01-01,297.767
10,Bread(4)(5),2017-01-01,177.995
11,White bread(4)(6),2017-01-01,324.131
12,Bread other than white(4)(6),2017-01-01,341.707
13,"Fresh biscuits, rolls, muffins(5)",2017-01-01,176.024
14,"Cakes, cupcakes, and cookies",2017-01-01,285.509
15,Cookies(6),2017-01-01,272.735
16,Fresh cakes and cupcakes(4)(6),2017-01-01,302.732
17,Other bakery products,2017-01-01,265.645
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2017-01-01,289.768
19,"Crackers, bread, and cracker products(6)",2017-01-01,306.109
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2017-01-01,269.747
21,"Meats, poultry, fish, and eggs",2017-01-01,242.596
22,"Meats, poultry, and fish",2017-01-01,244.345
23,Meats,2017-01-01,244.995
24,Beef and veal,2017-01-01,289.966
25,Uncooked ground beef(4),2017-01-01,259.37
26,Uncooked beef roasts(4)(5),2017-01-01,211.022
27,Uncooked beef steaks(5),2017-01-01,195.757
28,Uncooked other beef and veal(4)(5),2017-01-01,228.963
29,Pork,2017-01-01,202.929
30,"Bacon, breakfast sausage, and related products(5)",2017-01-01,153.462
31,Bacon and related products(6),2017-01-01,280.692
32,Breakfast sausage and related products(5)(6),2017-01-01,141.947
33,Ham,2017-01-01,191.646
34,"Ham, excluding canned(6)",2017-01-01,211.895
35,Pork chops(4),2017-01-01,177.097
36,Other pork including roasts and picnics(5),2017-01-01,123.157
37,Other meats,2017-01-01,224.334
38,Frankfurters(6),2017-01-01,233.086
39,Lunchmeats(5)(6),2017-01-01,144.236
40,Lamb and organ meats(4)(6),2017-01-01,327.849
41,Lamb and mutton(4)(5)(6),2017-01-01,169.17
42,Poultry(4),2017-01-01,228.707
43,Chicken(4)(5),2017-01-01,146.008
44,Fresh whole chicken(4)(6),2017-01-01,241.115
45,Fresh and frozen chicken parts(4)(6),2017-01-01,218.308
46,Other poultry including turkey(5),2017-01-01,154.234
47,Fish and seafood,2017-01-01,285.501
48,Fresh fish and seafood(5),2017-01-01,178.271
49,Processed fish and seafood(5),2017-01-01,141.498
50,Shelf stable fish and seafood(4)(6),2017-01-01,198.684
51,Frozen fish and seafood(6),2017-01-01,298.695
52,Eggs,2017-01-01,220.813
53,Dairy and related products,2017-01-01,219.804
54,Milk(4)(5),2017-01-01,142.639
55,Fresh whole milk(6),2017-01-01,206.977
56,Fresh milk other than whole(5)(6),2017-01-01,145.138
57,Cheese and related products,2017-01-01,228.153
58,Ice cream and related products,2017-01-01,224.731
59,Other dairy and related products(4)(5),2017-01-01,148.443
60,Fruits and vegetables,2017-01-01,291.679
61,Fresh fruits and vegetables,2017-01-01,335.844
62,Fresh fruits,2017-01-01,354.863
63,Apples,2017-01-01,330.947
64,Bananas(4),2017-01-01,198.357
65,Citrus fruits(5),2017-01-01,231.109
66,"Oranges, including tangerines(6)",2017-01-01,467.489
67,Other fresh fruits(5),2017-01-01,122.115
68,Fresh vegetables,2017-01-01,314.669
69,Potatoes,2017-01-01,332.772
70,Lettuce,2017-01-01,273.082
71,Tomatoes(4),2017-01-01,324.704
72,Other fresh vegetables,2017-01-01,321.452
73,Processed fruits and vegetables(5),2017-01-01,156.407
74,Canned fruits and vegetables(5),2017-01-01,159.891
75,Canned fruits(5)(6),2017-01-01,157.086
76,Canned vegetables(5)(6),2017-01-01,167.038
77,Frozen fruits and vegetables(5),2017-01-01,147.6
78,Frozen vegetables(6),2017-01-01,202.583
79,Other processed fruits and vegetables including dried(5),2017-01-01,160.272
80,"Dried beans, peas, and lentils(4)(5)(6)",2017-01-01,194.81
81,Nonalcoholic beverages and beverage materials,2017-01-01,167.074
82,Juices and nonalcoholic drinks(5),2017-01-01,128.622
83,Carbonated drinks,2017-01-01,160.93
84,Frozen noncarbonated juices and drinks(4)(5),2017-01-01,177.187
85,Nonfrozen noncarbonated juices and drinks(5),2017-01-01,117.494
86,Beverage materials including coffee and tea(5),2017-01-01,117.912
87,Coffee,2017-01-01,197.848
88,Roasted coffee(6),2017-01-01,206.886
89,Instant coffee(4)(6),2017-01-01,198.027
90,Other beverage materials including tea(4)(5),2017-01-01,128.863
91,Other food at home,2017-01-01,208.804
92,Sugar and sweets(4),2017-01-01,214.976
93,Sugar and artificial sweeteners,2017-01-01,187.509
94,Candy and chewing gum(4)(5),2017-01-01,144.758
95,Other sweets(5),2017-01-01,153.622
96,Fats and oils,2017-01-01,224.516
97,Butter and margarine(5),2017-01-01,202.262
98,Butter(6),2017-01-01,236.434
99,Margarine(6),2017-01-01,298.282
100,Salad dressing(5),2017-01-01,128.638
101,Other fats and oils including peanut butter(5),2017-01-01,155.086
102,Peanut butter(4)(5)(6),2017-01-01,152.853
103,Other foods,2017-01-01,223.347
104,Soups,2017-01-01,240.672
105,Frozen and freeze dried prepared foods(4),2017-01-01,166.034
106,Snacks(4),2017-01-01,250.968
107,"Spices, seasonings, condiments, sauces",2017-01-01,241.006
108,Salt and other seasonings and spices(5)(6),2017-01-01,151.976
109,"Olives, pickles, relishes(4)(5)(6)",2017-01-01,137.629
110,Sauces and gravies(5)(6),2017-01-01,138.255
111,Other condiments(6),2017-01-01,274.381
112,Baby food(4)(5),2017-01-01,159.088
113,Other miscellaneous foods(4)(5),2017-01-01,131.139
114,Prepared salads(4)(7)(6),2017-01-01,127.277
115,Food away from home(4),2017-01-01,266.079
116,Full service meals and snacks(4)(5),2017-01-01,165.361
117,Limited service meals and snacks(4)(5),2017-01-01,169.832
118,Food at employee sites and schools(5),2017-01-01,173.004
119,Food at elementary and secondary schools(4)(8)(6),2017-01-01,143.907
120,Food from vending machines and mobile vendors(4)(5),2017-01-01,153.249
121,Other food away from home(4)(5),2017-01-01,182.97
122,,2017-01-01,
123,Energy,2017-01-01,199.608
124,Energy commodities,2017-01-01,211.11
125,Fuel oil and other fuels,2017-01-01,255.895
126,Fuel oil(4),2017-01-01,243.347
127,"Propane, kerosene, and firewood(9)",2017-01-01,323.613
128,Motor fuel,2017-01-01,207.28
129,Gasoline (all types),2017-01-01,206.36
130,"Gasoline, unleaded regular(6)",2017-01-01,202.495
131,"Gasoline, unleaded midgrade(10)(6)",2017-01-01,221.832
132,"Gasoline, unleaded premium(6)",2017-01-01,215.958
133,Other motor fuels(5),2017-01-01,185.661
134,Energy services(11),2017-01-01,197.767
135,Electricity(11),2017-01-01,205.23
136,Utility (piped) gas service(11),2017-01-01,172.319
137,,2017-01-01,
138,All items less food and energy,2017-01-01,250.083
139,Commodities less food and energy commodities,2017-01-01,144.365
140,Household furnishings and supplies(12),2017-01-01,91.167
141,Window and floor coverings and other linens(4)(5),2017-01-01,59.022
142,Floor coverings(4)(5),2017-01-01,109.597
143,Window coverings(4)(5),2017-01-01,70.072
144,Other linens(4)(5),2017-01-01,45.103
145,Furniture and bedding,2017-01-01,111.802
146,Bedroom furniture(4),2017-01-01,127.243
147,"Living room, kitchen, and dining room furniture(4)(5)",2017-01-01,85.865
148,Other furniture(5),2017-01-01,70.507
149,Infants' furniture(4)(8)(6),2017-01-01,107.287
150,Appliances(5),2017-01-01,74.929
151,Major appliances(5),2017-01-01,82.312
152,Laundry equipment(6),2017-01-01,94.138
153,Other appliances(4)(5),2017-01-01,64.486
154,Other household equipment and furnishings(5),2017-01-01,56.577
155,"Clocks, lamps, and decorator items(4)",2017-01-01,43.858
156,Indoor plants and flowers(13),2017-01-01,129.396
157,Dishes and flatware(4)(5),2017-01-01,54.15
158,Nonelectric cookware and tableware(5),2017-01-01,87.994
159,"Tools, hardware, outdoor equipment and supplies(5)",2017-01-01,89.965
160,"Tools, hardware and supplies(4)(5)",2017-01-01,97.625
161,Outdoor equipment and supplies(5),2017-01-01,86.343
162,Housekeeping supplies(4),2017-01-01,185.203
163,Household cleaning products(5),2017-01-01,119.353
164,Household paper products(4)(5),2017-01-01,168.183
165,Miscellaneous household products(4)(5),2017-01-01,116.055
166,Apparel,2017-01-01,123.088
167,Men's and boys' apparel,2017-01-01,117.309
168,Men's apparel,2017-01-01,121.524
169,"Men's suits, sport coats, and outerwear",2017-01-01,108.391
170,Men's furnishings,2017-01-01,152.687
171,Men's shirts and sweaters(5),2017-01-01,78.341
172,Men's pants and shorts,2017-01-01,121.427
173,Boys' apparel,2017-01-01,100.939
174,Women's and girls' apparel,2017-01-01,106.73
175,Women's apparel,2017-01-01,109.611
176,Women's outerwear,2017-01-01,101.674
177,Women's dresses,2017-01-01,114.664
178,Women's suits and separates(5),2017-01-01,76.874
179,"Women's underwear, nightwear, sportswear and accessories(5)",2017-01-01,104.739
180,Girls' apparel,2017-01-01,93.049
181,Footwear,2017-01-01,135.398
182,Men's footwear(4),2017-01-01,136.879
183,Boys' and girls' footwear,2017-01-01,151.19
184,Women's footwear,2017-01-01,126.319
185,Infants' and toddlers' apparel,2017-01-01,113.061
186,Jewelry and watches(9),2017-01-01,170.302
187,Watches(4)(9),2017-01-01,130.419
188,Jewelry(9),2017-01-01,177.198
189,Transportation commodities less motor fuel(12),2017-01-01,104.86
190,New vehicles,2017-01-01,148.848
191,New cars and trucks(5)(6),2017-01-01,103.164
192,New cars(6),2017-01-01,145.022
193,New trucks(14)(6),2017-01-01,158.01
194,Used cars and trucks,2017-01-01,137.397
195,Motor vehicle parts and equipment(4),2017-01-01,142.993
196,Tires(4),2017-01-01,124.423
197,Vehicle accessories other than tires(4)(5),2017-01-01,166.727
198,Vehicle parts and equipment other than tires(4)(6),2017-01-01,157.694
199,"Motor oil, coolant, and fluids(4)(6)",2017-01-01,368.224
200,Medical care commodities,2017-01-01,374.15
201,Medicinal drugs(4)(12),2017-01-01,122.483
202,Prescription drugs(11),2017-01-01,515.468
203,Nonprescription drugs(4)(12),2017-01-01,96.744
204,Medical equipment and supplies(4)(12),2017-01-01,99.209
205,Recreation commodities(12),2017-01-01,84.139
206,Video and audio products(12),2017-01-01,50.156
207,Televisions,2017-01-01,2.383
208,Other video equipment(5),2017-01-01,9.934
209,Audio equipment(4),2017-01-01,32.955
210,Recorded music and music subscriptions(4)(5),2017-01-01,84.469
211,Pets and pet products(4),2017-01-01,198.037
212,Pet food(4)(5)(6),2017-01-01,151.819
213,"Purchase of pets, pet supplies, accessories(4)(5)(6)",2017-01-01,113.498
214,Sporting goods,2017-01-01,111.551
215,Sports vehicles including bicycles(4),2017-01-01,147.413
216,Sports equipment,2017-01-01,81.136
217,Photographic equipment and supplies,2017-01-01,55.113
218,Film and photographic supplies(4)(5)(6),2017-01-01,
219,Photographic equipment(5)(6),2017-01-01,22.524
220,Recreational reading materials(4),2017-01-01,243.625
221,Newspapers and magazines(4)(5),2017-01-01,168.914
222,Recreational books(4)(5),2017-01-01,99.549
223,Other recreational goods(5),2017-01-01,42.354
224,Toys,2017-01-01,39.175
225,"Toys, games, hobbies and playground equipment(5)(6)",2017-01-01,48.208
226,"Sewing machines, fabric and supplies(4)(5)",2017-01-01,95.803
227,Music instruments and accessories(4)(5),2017-01-01,100.879
228,Education and communication commodities(12),2017-01-01,78.921
229,Educational books and supplies,2017-01-01,690.427
230,College textbooks(4)(15)(6),2017-01-01,239.463
231,Information technology commodities(12),2017-01-01,58.457
232,Personal computers and peripheral equipment(7),2017-01-01,43.475
233,Computer software and accessories(4)(5),2017-01-01,33.31
234,"Telephone hardware, calculators, and other consumer information items(4)(5)",2017-01-01,20.847
235,Alcoholic beverages,2017-01-01,244.516
236,Alcoholic beverages at home,2017-01-01,200.234
237,"Beer, ale, and other malt beverages at home",2017-01-01,222.349
238,Distilled spirits at home,2017-01-01,193.099
239,Whiskey at home(4)(6),2017-01-01,208.784
240,"Distilled spirits, excluding whiskey, at home(6)",2017-01-01,186.991
241,Wine at home,2017-01-01,168.111
242,Alcoholic beverages away from home(4),2017-01-01,340.366
243,"Beer, ale, and other malt beverages away from home(4)(5)(6)",2017-01-01,169.183
244,Wine away from home(4)(5)(6),2017-01-01,181.784
245,Distilled spirits away from home(4)(5)(6),2017-01-01,183.781
246,Other goods(12),2017-01-01,109.558
247,Tobacco and smoking products,2017-01-01,984.721
248,Cigarettes(5),2017-01-01,402.189
249,Tobacco products other than cigarettes(4)(5),2017-01-01,257.319
250,Personal care products(4),2017-01-01,162.379
251,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",2017-01-01,102.633
252,"Cosmetics, perfume, bath, nail preparations and implements(4)",2017-01-01,188.098
253,Miscellaneous personal goods(5),2017-01-01,78.292
254,"Stationery, stationery supplies, gift wrap(6)",2017-01-01,150.722
255,Infants' equipment(4)(8)(6),2017-01-01,77.905
256,Services less energy services,2017-01-01,315.282
257,Shelter,2017-01-01,293.56
258,Rent of shelter(16),2017-01-01,305.891
259,Rent of primary residence(11),2017-01-01,303.467
260,Lodging away from home(5),2017-01-01,151.949
261,"Housing at school, excluding board(11)(16)",2017-01-01,533.44
262,Other lodging away from home including hotels and motels,2017-01-01,309.9
263,Owners' equivalent rent of residences(11)(16),2017-01-01,301.181
264,Owners' equivalent rent of primary residence(11)(16),2017-01-01,301.161
265,Tenants' and household insurance(4)(5),2017-01-01,147.758
266,Water and sewer and trash collection services(5),2017-01-01,226.411
267,Water and sewerage maintenance(11),2017-01-01,525.645
268,Garbage and trash collection(4)(14),2017-01-01,446.266
269,Household operations(4)(5),2017-01-01,174.426
270,Domestic services(4)(5),2017-01-01,157.963
271,Gardening and lawncare services(4)(5),2017-01-01,
272,"Moving, storage, freight expense(5)",2017-01-01,156.16
273,Repair of household items(4)(5),2017-01-01,233.279
274,Medical care services,2017-01-01,502.948
275,Professional services,2017-01-01,376.586
276,Physicians' services(11),2017-01-01,384.882
277,Dental services(11),2017-01-01,468.124
278,Eyeglasses and eye care(4)(9),2017-01-01,187.781
279,Services by other medical professionals(4)(11)(9),2017-01-01,234.954
280,Hospital and related services,2017-01-01,811.479
281,Hospital services(11)(17),2017-01-01,309.929
282,Inpatient hospital services(11)(17)(6),2017-01-01,306.438
283,Outpatient hospital services(11)(9)(6),2017-01-01,686.331
284,Nursing homes and adult day services(11)(17),2017-01-01,217.21
285,Care of invalids and elderly at home(4)(8),2017-01-01,119.281
286,Health insurance(4)(8),2017-01-01,133.862
287,Transportation services,2017-01-01,303.718
288,Leased cars and trucks(15),2017-01-01,83.08
289,Car and truck rental(5),2017-01-01,121.863
290,Motor vehicle maintenance and repair(4),2017-01-01,279.523
291,Motor vehicle body work(4),2017-01-01,292.038
292,Motor vehicle maintenance and servicing(4),2017-01-01,250.686
293,Motor vehicle repair(4)(5),2017-01-01,173.767
294,Motor vehicle insurance,2017-01-01,510.919
295,Motor vehicle fees(4)(5),2017-01-01,184.484
296,State motor vehicle registration and license fees(4)(11)(5),2017-01-01,175.348
297,Parking and other fees(4)(5),2017-01-01,199.605
298,Parking fees and tolls(4)(5)(6),2017-01-01,224.903
299,Automobile service clubs(4)(5)(6),2017-01-01,118.905
300,Public transportation,2017-01-01,258.551
301,Airline fares,2017-01-01,269.241
302,Other intercity transportation,2017-01-01,159.54
303,Intercity bus fare(4)(7)(6),2017-01-01,130.683
304,Intercity train fare(4)(7)(6),2017-01-01,118.38
305,Ship fare(4)(5)(6),2017-01-01,65.859
306,Intracity transportation(4),2017-01-01,310.103
307,Intracity mass transit(4)(12)(6),2017-01-01,122.829
308,Recreation services(12),2017-01-01,116.715
309,Video and audio services(12),2017-01-01,119.546
310,Cable and satellite television service(14),2017-01-01,447.73
311,"Video discs and other media, including rental of video(4)(5)",2017-01-01,72.533
312,Video discs and other media(4)(5)(6),2017-01-01,40.13
313,Rental of video discs and other media(4)(5)(6),2017-01-01,125.81
314,Pet services including veterinary(5),2017-01-01,235.735
315,Pet services(4)(5)(6),2017-01-01,186.295
316,Veterinarian services(5)(6),2017-01-01,246.931
317,Photographers and film processing(4)(5),2017-01-01,124.352
318,Photographer fees(4)(5)(6),2017-01-01,127.099
319,Film processing(4)(5)(6),2017-01-01,121.976
320,Other recreation services(5),2017-01-01,161.604
321,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(4)(5)",2017-01-01,132.751
322,Admissions,2017-01-01,371.054
323,"Admission to movies, theaters, and concerts(4)(5)(6)",2017-01-01,176.399
324,Admission to sporting events(4)(5)(6),2017-01-01,221.568
325,Fees for lessons or instructions(4)(9),2017-01-01,298.435
326,Education and communication services(12),2017-01-01,111.088
327,"Tuition, other school fees, and childcare",2017-01-01,718.304
328,College tuition and fees,2017-01-01,815.911
329,Elementary and high school tuition and fees,2017-01-01,792.861
330,Child care and nursery school(13),2017-01-01,288.591
331,Technical and business school tuition and fees(5),2017-01-01,243.482
332,Postage and delivery services(5),2017-01-01,175.867
333,Postage,2017-01-01,276.385
334,Delivery services(5),2017-01-01,288.969
335,Telephone services(4)(5),2017-01-01,97.372
336,Wireless telephone services(4)(5),2017-01-01,53.435
337,Land-line telephone services(4)(12),2017-01-01,115.005
338,Internet services and electronic information providers(5),2017-01-01,77.164
339,Other personal services(4)(12),2017-01-01,117.075
340,Personal care services(4),2017-01-01,255.634
341,Haircuts and other personal care services(4)(5),2017-01-01,155.978
342,Miscellaneous personal services(4),2017-01-01,419.268
343,Legal services(4)(9),2017-01-01,348.052
344,Funeral expenses(4)(9),2017-01-01,322.184
345,Laundry and dry cleaning services(4)(5),2017-01-01,162.355
346,Apparel services other than laundry and dry cleaning(4)(5),2017-01-01,187.634
347,Financial services(9),2017-01-01,333.074
348,Checking account and other bank services(4)(5)(6),2017-01-01,156.498
349,Tax return preparation and other accounting fees(5)(6),2017-01-01,226.517
350,,2017-01-01,
351,Special aggregate indexes,2017-01-01,
352,,2017-01-01,
353,All items less food,2017-01-01,241.994
354,All items less shelter,2017-01-01,225.699
355,All items less food and shelter,2017-01-01,219.777
356,"All items less food, shelter, and energy",2017-01-01,225.903
357,"All items less food, shelter, energy, and used cars and trucks",2017-01-01,231.328
358,All items less medical care,2017-01-01,231.859
359,All items less energy,2017-01-01,249.115
