,Area,Date,Unadjusted CPI Index
0,U.S. city average,2017-01-01,242.839
1,Region and area size(2),2017-01-01,
2,Northeast urban,2017-01-01,258.073
3,"Size A - More than 1,500,000",2017-01-01,261.125
4,"Size B/C - 50,000 to 1,500,000(3)",2017-01-01,152.007
5,Midwest urban,2017-01-01,228.279
6,"Size A - More than 1,500,000",2017-01-01,228.968
7,"Size B/C - 50,000 to 1,500,000(3)",2017-01-01,146.593
8,"Size D -  Nonmetropolitan  (less than 50,000)(4)",2017-01-01,224.482
9,South urban,2017-01-01,235.492
10,"Size A - More than 1,500,000",2017-01-01,238.421
11,"Size B/C - 50,000 to 1,500,000(3)",2017-01-01,149.312
12,"Size D -  Nonmetropolitan  (less than 50,000)(4)",2017-01-01,238.343
13,West urban,2017-01-01,250.814
14,"Size A - More than 1,500,000",2017-01-01,257.949
15,"Size B/C - 50,000 to 1,500,000(3)",2017-01-01,146.469
16,Size classes,2017-01-01,
17,A(5),2017-01-01,223.039
18,B/C(3),2017-01-01,148.583
19,D(4),2017-01-01,237.237
20,Selected local areas,2017-01-01,
21,"Chicago-Gary-Kenosha, IL-IN-WI",2017-01-01,232.155
22,"Los Angeles-Riverside-Orange County, CA(6)",2017-01-01,252.373
23,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2017-01-01,266.917
24,"Boston-Brockton-Nashua, MA-NH-ME-CT",2017-01-01,264.865
25,"Cleveland-Akron, OH(4)",2017-01-01,222.241
26,"Dallas-Fort Worth, TX",2017-01-01,223.082
27,"Washington-Baltimore, DC-MD-VA-WV(7)(8)",2017-01-01,158.086
28,"Atlanta, GA",2017-01-01,
29,"Detroit-Ann Arbor-Flint, MI",2017-01-01,
30,"Houston-Galveston-Brazoria, TX",2017-01-01,
31,"Miami-Fort Lauderdale, FL",2017-01-01,
32,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2017-01-01,
33,"San Francisco-Oakland-San Jose, CA",2017-01-01,
34,"Seattle-Tacoma-Bremerton, WA",2017-01-01,
35,U.S. city average,2017-02-01,243.603
