,Expenditure category,Date,Unadjusted CPI Index
0,All items,2020-01-01,257.971
1,Food,2020-01-01,261.057
2,Food at home,2020-01-01,243.11
3,Cereals and bakery products,2020-01-01,275.916
4,Cereals and cereal products,2020-01-01,226.53
5,Flour and prepared flour mixes,2020-01-01,235.711
6,Breakfast cereal(4),2020-01-01,219.421
7,"Rice, pasta, cornmeal(4)",2020-01-01,237.732
8,Rice(4)(5)(6),2020-01-01,159.609
9,Bakery products(4),2020-01-01,304.479
10,Bread(4)(5),2020-01-01,185.053
11,White bread(4)(6),2020-01-01,338.123
12,Bread other than white(4)(6),2020-01-01,357.306
13,"Fresh biscuits, rolls, muffins(5)",2020-01-01,179.172
14,"Cakes, cupcakes, and cookies",2020-01-01,292.549
15,Cookies(4)(6),2020-01-01,271.855
16,Fresh cakes and cupcakes(4)(6),2020-01-01,316.44
17,Other bakery products,2020-01-01,267.099
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2020-01-01,310.438
19,"Crackers, bread, and cracker products(6)",2020-01-01,301.606
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2020-01-01,267.144
21,"Meats, poultry, fish, and eggs",2020-01-01,252.905
22,"Meats, poultry, and fish",2020-01-01,256.269
23,Meats,2020-01-01,259.503
24,Beef and veal,2020-01-01,313.61
25,Uncooked ground beef(4),2020-01-01,277.71
26,Uncooked beef roasts(4)(5),2020-01-01,238.609
27,Uncooked beef steaks(5),2020-01-01,209.953
28,Uncooked other beef and veal(4)(5),2020-01-01,251.451
29,Pork,2020-01-01,215.09
30,"Bacon, breakfast sausage, and related products(5)",2020-01-01,163.837
31,Bacon and related products(6),2020-01-01,304.75
32,Breakfast sausage and related products(5)(6),2020-01-01,149.992
33,Ham,2020-01-01,204.344
34,"Ham, excluding canned(6)",2020-01-01,226.858
35,Pork chops(4),2020-01-01,188.587
36,"Other pork including roasts, steaks, and ribs(5)",2020-01-01,127.855
37,Other meats,2020-01-01,228.236
38,Frankfurters(6),2020-01-01,243.8
39,Lunchmeats(5)(6),2020-01-01,146.352
40,Lamb and organ meats(4)(6),2020-01-01,
41,Lamb and mutton(4)(5)(6),2020-01-01,
42,Poultry(4),2020-01-01,231.801
43,Chicken(4)(5),2020-01-01,149.467
44,Fresh whole chicken(4)(6),2020-01-01,248.944
45,Fresh and frozen chicken parts(4)(6),2020-01-01,222.016
46,Other uncooked poultry including turkey(5),2020-01-01,149.683
47,Fish and seafood,2020-01-01,300.842
48,Fresh fish and seafood(5),2020-01-01,188.896
49,Processed fish and seafood(5),2020-01-01,148.695
50,Shelf stable fish and seafood(4)(6),2020-01-01,215.459
51,Frozen fish and seafood(6),2020-01-01,308.041
52,Eggs,2020-01-01,208.788
53,Dairy and related products,2020-01-01,223.035
54,Milk(5),2020-01-01,146.652
55,Fresh whole milk(6),2020-01-01,209.253
56,Fresh milk other than whole(5)(6),2020-01-01,151.053
57,Cheese and related products(4),2020-01-01,233.932
58,Ice cream and related products,2020-01-01,227.147
59,Other dairy and related products(4)(5),2020-01-01,146.9
60,Fruits and vegetables,2020-01-01,301.679
61,Fresh fruits and vegetables,2020-01-01,350.506
62,Fresh fruits,2020-01-01,352.185
63,Apples,2020-01-01,317.302
64,Bananas(4),2020-01-01,195.848
65,Citrus fruits(5),2020-01-01,238.849
66,"Oranges, including tangerines(6)",2020-01-01,471.217
67,Other fresh fruits(5),2020-01-01,119.723
68,Fresh vegetables,2020-01-01,347.123
69,Potatoes,2020-01-01,370.133
70,Lettuce(4),2020-01-01,337.029
71,Tomatoes,2020-01-01,361.063
72,Other fresh vegetables,2020-01-01,343.36
73,Processed fruits and vegetables(5),2020-01-01,156.607
74,Canned fruits and vegetables(5),2020-01-01,163.242
75,Canned fruits(5)(6),2020-01-01,158.715
76,Canned vegetables(5)(6),2020-01-01,172.181
77,Frozen fruits and vegetables(5),2020-01-01,145.137
78,Frozen vegetables(6),2020-01-01,201.196
79,Other processed fruits and vegetables including dried(5),2020-01-01,155.027
80,"Dried beans, peas, and lentils(4)(5)(6)",2020-01-01,182.471
81,Nonalcoholic beverages and beverage materials,2020-01-01,172.313
82,Juices and nonalcoholic drinks(5),2020-01-01,135.439
83,Carbonated drinks,2020-01-01,171.883
84,Frozen noncarbonated juices and drinks(4)(5),2020-01-01,177.699
85,Nonfrozen noncarbonated juices and drinks(5),2020-01-01,122.533
86,Beverage materials including coffee and tea(5),2020-01-01,115.597
87,Coffee,2020-01-01,190.995
88,Roasted coffee(6),2020-01-01,199.209
89,Instant coffee(4)(6),2020-01-01,181.53
90,Other beverage materials including tea(4)(5),2020-01-01,129.74
91,Other food at home,2020-01-01,210.763
92,Sugar and sweets(4),2020-01-01,226.31
93,Sugar and sugar substitutes,2020-01-01,193.91
94,Candy and chewing gum(4)(5),2020-01-01,154.723
95,Other sweets(5),2020-01-01,156.192
96,Fats and oils,2020-01-01,227.123
97,Butter and margarine(5),2020-01-01,208.924
98,Butter(6),2020-01-01,252.787
99,Margarine(6),2020-01-01,300.611
100,Salad dressing(5),2020-01-01,130.872
101,Other fats and oils including peanut butter(5),2020-01-01,154.311
102,Peanut butter(4)(5)(6),2020-01-01,146.492
103,Other foods,2020-01-01,223.574
104,Soups,2020-01-01,240.203
105,Frozen and freeze dried prepared foods,2020-01-01,165.763
106,Snacks(4),2020-01-01,246.369
107,"Spices, seasonings, condiments, sauces",2020-01-01,242.536
108,Salt and other seasonings and spices(5)(6),2020-01-01,155.945
109,"Olives, pickles, relishes(4)(5)(6)",2020-01-01,146.246
110,Sauces and gravies(5)(6),2020-01-01,139.344
111,Other condiments(6),2020-01-01,275.419
112,Baby food(4)(5),2020-01-01,165.818
113,Other miscellaneous foods(5),2020-01-01,132.477
114,Prepared salads(4)(7)(6),2020-01-01,132.98
115,Food away from home(4),2020-01-01,289.137
116,Full service meals and snacks(4)(5),2020-01-01,179.613
117,Limited service meals and snacks(4)(5),2020-01-01,184.856
118,Food at employee sites and schools(5),2020-01-01,183.357
119,Food at elementary and secondary schools(4)(8)(6),2020-01-01,152.124
120,Food from vending machines and mobile vendors(4)(5),2020-01-01,169.929
121,Other food away from home(4)(5),2020-01-01,198.249
122,,2020-01-01,
123,Energy,2020-01-01,213.043
124,Energy commodities,2020-01-01,232.906
125,Fuel oil and other fuels,2020-01-01,289.038
126,Fuel oil,2020-01-01,291.872
127,"Propane, kerosene, and firewood(9)",2020-01-01,336.333
128,Motor fuel,2020-01-01,228.343
129,Gasoline (all types),2020-01-01,227.01
130,"Gasoline, unleaded regular(6)",2020-01-01,221.952
131,"Gasoline, unleaded midgrade(10)(6)",2020-01-01,246.871
132,"Gasoline, unleaded premium(6)",2020-01-01,243.141
133,Other motor fuels(5),2020-01-01,222.092
134,Energy services,2020-01-01,203.318
135,Electricity,2020-01-01,212.018
136,Utility (piped) gas service,2020-01-01,174.272
137,,2020-01-01,
138,All items less food and energy,2020-01-01,266.004
139,Commodities less food and energy commodities,2020-01-01,143.532
