,Area,Date,Unadjusted CPI Index
0,U.S. city average,2015-01-01,233.707
1,Region and area size(2),2015-01-01,
2,Northeast urban,2015-01-01,250.016
3,"Size A - More than 1,500,000",2015-01-01,252.758
4,"Size B/C - 50,000 to 1,500,000(3)",2015-01-01,147.599
5,Midwest urban,2015-01-01,221.545
6,"Size A - More than 1,500,000",2015-01-01,221.935
7,"Size B/C - 50,000 to 1,500,000(3)",2015-01-01,142.523
8,"Size D -  Nonmetropolitan  (less than 50,000)",2015-01-01,218.08
9,South urban,2015-01-01,226.855
10,"Size A - More than 1,500,000",2015-01-01,229.071
11,"Size B/C - 50,000 to 1,500,000(3)",2015-01-01,143.769
12,"Size D -  Nonmetropolitan  (less than 50,000)",2015-01-01,233.145
13,West urban,2015-01-01,238.318
14,"Size A - More than 1,500,000",2015-01-01,243.655
15,"Size B/C - 50,000 to 1,500,000(3)",2015-01-01,142.022
16,Size classes,2015-01-01,
17,A(4),2015-01-01,213.966
18,B/C(3),2015-01-01,143.695
19,D,2015-01-01,228.565
20,Selected local areas(5),2015-01-01,
21,"Chicago-Gary-Kenosha, IL-IN-WI",2015-01-01,225.852
22,"Los Angeles-Riverside-Orange County, CA",2015-01-01,239.724
23,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2015-01-01,258.376
24,"Boston-Brockton-Nashua, MA-NH-ME-CT",2015-01-01,254.556
25,"Cleveland-Akron, OH",2015-01-01,218.536
26,"Dallas-Fort Worth, TX",2015-01-01,214.899
27,"Washington-Baltimore, DC-MD-VA-WV(6)",2015-01-01,153.376
28,"Atlanta, GA",2015-01-01,
29,"Detroit-Ann Arbor-Flint, MI",2015-01-01,
30,"Houston-Galveston-Brazoria, TX",2015-01-01,
31,"Miami-Fort Lauderdale, FL",2015-01-01,
32,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2015-01-01,
33,"San Francisco-Oakland-San Jose, CA",2015-01-01,
34,"Seattle-Tacoma-Bremerton, WA",2015-01-01,
35,U.S. city average,2015-02-01,234.722
36,Region and area size(2),2015-02-01,
