,Expenditure category,Date,Unadjusted CPI Index
0,All items,2023-01-01,299.17
1,Food,2023-01-01,319.136
2,Food at home,2023-01-01,301.435
3,Cereals and bakery products,2023-01-01,349.294
4,Cereals and cereal products,2023-01-01,285.624
5,Flour and prepared flour mixes,2023-01-01,318.54
6,Breakfast cereal(4),2023-01-01,273.962
7,"Rice, pasta, cornmeal",2023-01-01,293.434
8,Rice(4)(5)(6),2023-01-01,196.789
9,Bakery products(4),2023-01-01,386.184
10,Bread(4)(5),2023-01-01,232.931
11,White bread(4)(6),2023-01-01,424.714
12,Bread other than white(4)(6),2023-01-01,452.281
13,"Fresh biscuits, rolls, muffins(5)",2023-01-01,229.073
14,"Cakes, cupcakes, and cookies(4)",2023-01-01,366.553
15,Cookies(4)(6),2023-01-01,346.527
16,Fresh cakes and cupcakes(4)(6),2023-01-01,381.978
17,Other bakery products,2023-01-01,343.373
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2023-01-01,381.893
19,"Crackers, bread, and cracker products(6)",2023-01-01,405.08
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2023-01-01,340.372
21,"Meats, poultry, fish, and eggs",2023-01-01,322.737
22,"Meats, poultry, and fish",2023-01-01,315.855
23,Meats,2023-01-01,317.902
24,Beef and veal,2023-01-01,382.271
25,Uncooked ground beef(4),2023-01-01,329.943
26,Uncooked beef roasts(5),2023-01-01,306.92
27,Uncooked beef steaks(5),2023-01-01,254.334
28,Uncooked other beef and veal(4)(5),2023-01-01,317.996
29,Pork,2023-01-01,262.262
30,"Bacon, breakfast sausage, and related products(5)",2023-01-01,199.108
31,Bacon and related products(6),2023-01-01,363.05
32,Breakfast sausage and related products(5)(6),2023-01-01,188.373
33,Ham,2023-01-01,248.034
34,"Ham, excluding canned(6)",2023-01-01,276.587
35,Pork chops(4),2023-01-01,232.855
36,"Other pork including roasts, steaks, and ribs(5)",2023-01-01,156.233
37,Other meats,2023-01-01,285.678
38,Frankfurters(6),2023-01-01,289.661
39,Lunchmeats(4)(5)(6),2023-01-01,184.789
40,Poultry(4),2023-01-01,300.213
41,Chicken(4)(5),2023-01-01,192.413
42,Fresh whole chicken(4)(6),2023-01-01,316.322
43,Fresh and frozen chicken parts(4)(6),2023-01-01,288.026
44,Other uncooked poultry including turkey(5),2023-01-01,198.27
45,Fish and seafood,2023-01-01,357.719
46,Fresh fish and seafood(4)(5),2023-01-01,227.546
47,Processed fish and seafood(5),2023-01-01,174.6
48,Shelf stable fish and seafood(6),2023-01-01,242.027
49,Frozen fish and seafood(6),2023-01-01,369.462
50,Eggs(4),2023-01-01,405.153
51,Dairy and related products,2023-01-01,272.04
52,Milk(5),2023-01-01,179.482
53,Fresh whole milk(6),2023-01-01,259.791
