,Expenditure category,Date,Unadjusted CPI Index
0,All items,2021-01-01,261.582
1,Food,2021-01-01,270.938
2,Food at home,2021-01-01,252.107
3,Cereals and bakery products,2021-01-01,282.911
4,Cereals and cereal products,2021-01-01,232.504
5,Flour and prepared flour mixes,2021-01-01,239.72
6,Breakfast cereal(4),2021-01-01,226.376
7,"Rice, pasta, cornmeal",2021-01-01,243.333
8,Rice(4)(5)(6),2021-01-01,166.652
9,Bakery products(4),2021-01-01,312.06
10,Bread(4)(5),2021-01-01,191.579
11,White bread(4)(6),2021-01-01,345.97
12,Bread other than white(4)(6),2021-01-01,374.39
13,"Fresh biscuits, rolls, muffins(5)",2021-01-01,186.468
14,"Cakes, cupcakes, and cookies(4)",2021-01-01,297.056
15,Cookies(4)(6),2021-01-01,277.49
16,Fresh cakes and cupcakes(4)(6),2021-01-01,316.489
17,Other bakery products,2021-01-01,271.376
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2021-01-01,323.39
19,"Crackers, bread, and cracker products(6)",2021-01-01,311.17
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(4)(6)",2021-01-01,265.393
21,"Meats, poultry, fish, and eggs",2021-01-01,265.922
22,"Meats, poultry, and fish",2021-01-01,270.152
23,Meats,2021-01-01,273.843
24,Beef and veal,2021-01-01,333.526
25,Uncooked ground beef(4),2021-01-01,289.968
26,Uncooked beef roasts(4)(5),2021-01-01,258.766
27,Uncooked beef steaks(5),2021-01-01,223.768
28,Uncooked other beef and veal(4)(5),2021-01-01,275.955
29,Pork,2021-01-01,226.453
30,"Bacon, breakfast sausage, and related products(5)",2021-01-01,169.545
31,Bacon and related products(6),2021-01-01,320.036
32,Breakfast sausage and related products(5)(6),2021-01-01,152.779
33,Ham,2021-01-01,210.361
34,"Ham, excluding canned(6)",2021-01-01,234.341
35,Pork chops(4),2021-01-01,203.256
36,"Other pork including roasts, steaks, and ribs(5)",2021-01-01,139.39
37,Other meats,2021-01-01,237.845
38,Frankfurters(6),2021-01-01,254.535
39,Lunchmeats(4)(5)(6),2021-01-01,152.624
40,Poultry(4),2021-01-01,245.84
41,Chicken(4)(5),2021-01-01,157.889
42,Fresh whole chicken(4)(6),2021-01-01,258.407
43,Fresh and frozen chicken parts(4)(6),2021-01-01,235.836
44,Other uncooked poultry including turkey(5),2021-01-01,161.56
45,Fish and seafood,2021-01-01,313.669
46,Fresh fish and seafood(5),2021-01-01,195.868
47,Processed fish and seafood(5),2021-01-01,155.907
48,Shelf stable fish and seafood(6),2021-01-01,227.216
49,Frozen fish and seafood(6),2021-01-01,323.479
50,Eggs,2021-01-01,210.553
51,Dairy and related products,2021-01-01,231.546
52,Milk(5),2021-01-01,151.392
53,Fresh whole milk(6),2021-01-01,219.14
