,Area,Date,Unadjusted CPI Index
0,U.S. city average,2022-01-01,281.148
1,Region and area size(2),2022-01-01,
2,Northeast,2022-01-01,292.644
3,Northeast - Size Class A,2022-01-01,295.017
4,Northeast - Size Class B/C(3),2022-01-01,173.177
5,New England(4),2022-01-01,112.623
6,Middle Atlantic(4),2022-01-01,112.071
7,Midwest,2022-01-01,261.657
8,Midwest - Size Class A,2022-01-01,260.643
9,Midwest - Size Class B/C(3),2022-01-01,167.928
10,East North Central(4),2022-01-01,113.27
11,West North Central(4),2022-01-01,114.024
12,South,2022-01-01,271.634
13,South - Size Class A,2022-01-01,276.223
14,South - Size Class B/C(3),2022-01-01,171.79
15,South Atlantic(4),2022-01-01,115.189
16,East South Central(4),2022-01-01,112.368
17,West South Central(4),2022-01-01,112.224
18,West,2022-01-01,298.705
19,West - Size Class A,2022-01-01,307.206
20,West - Size Class B/C(3),2022-01-01,174.269
21,Mountain(4),2022-01-01,117.592
22,Pacific(4),2022-01-01,115.521
23,Size classes,2022-01-01,
24,Size Class A(5),2022-01-01,258.219
25,Size Class B/C(3),2022-01-01,171.71
26,Selected local areas,2022-01-01,
27,"Chicago-Naperville-Elgin, IL-IN-WI",2022-01-01,262.73
28,"Los Angeles-Long Beach-Anaheim, CA",2022-01-01,301.209
29,"New York-Newark-Jersey City, NY-NJ-PA",2022-01-01,300.164
30,"Atlanta-Sandy Springs-Roswell, GA",2022-01-01,
31,"Baltimore-Columbia-Towson, MD(6)",2022-01-01,
32,"Detroit-Warren-Dearborn, MI",2022-01-01,
33,"Houston-The Woodlands-Sugar Land, TX",2022-01-01,
34,"Miami-Fort Lauderdale-West Palm Beach, FL",2022-01-01,
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-01-01,
36,"Phoenix-Mesa-Scottsdale, AZ(7)",2022-01-01,
37,"San Francisco-Oakland-Hayward, CA",2022-01-01,
38,"Seattle-Tacoma-Bellevue, WA",2022-01-01,
39,"St. Louis, MO-IL",2022-01-01,
40,Urban Alaska,2022-01-01,
41,"Boston-Cambridge-Newton, MA-NH",2022-01-01,304.634
42,"Dallas-Fort Worth-Arlington, TX",2022-01-01,261.499
43,"Denver-Aurora-Lakewood, CO",2022-01-01,293.58
44,"Minneapolis-St.Paul-Bloomington, MN-WI",2022-01-01,274.725
45,"Riverside-San Bernardino-Ontario, CA(4)",2022-01-01,118.963
46,"San Diego-Carlsbad, CA",2022-01-01,332.99
47,"Tampa-St. Petersburg-Clearwater, FL(8)",2022-01-01,262.052
48,Urban Hawaii,2022-01-01,304.988
49,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2022-01-01,286.678
50,U.S. city average,2022-02-01,283.716
51,Region and area size(2),2022-02-01,
52,Northeast,2022-02-01,294.605
53,Northeast - Size Class A,2022-02-01,296.239
54,Northeast - Size Class B/C(3),2022-02-01,174.884
55,New England(4),2022-02-01,113.324
56,Middle Atlantic(4),2022-02-01,112.843
57,Midwest,2022-02-01,263.988
58,Midwest - Size Class A,2022-02-01,262.875
59,Midwest - Size Class B/C(3),2022-02-01,169.46
60,East North Central(4),2022-02-01,114.287
61,West North Central(4),2022-02-01,115.022
62,South,2022-02-01,274.688
63,South - Size Class A,2022-02-01,279.536
64,South - Size Class B/C(3),2022-02-01,173.657
65,South Atlantic(4),2022-02-01,116.438
66,East South Central(4),2022-02-01,113.558
67,West South Central(4),2022-02-01,113.607
68,West,2022-02-01,301.158
69,West - Size Class A,2022-02-01,309.424
70,West - Size Class B/C(3),2022-02-01,175.89
71,Mountain(4),2022-02-01,118.949
72,Pacific(4),2022-02-01,116.323
73,Size classes,2022-02-01,
74,Size Class A(5),2022-02-01,260.281
75,Size Class B/C(3),2022-02-01,173.428
76,Selected local areas,2022-02-01,
77,"Chicago-Naperville-Elgin, IL-IN-WI",2022-02-01,264.828
78,"Los Angeles-Long Beach-Anaheim, CA",2022-02-01,302.164
79,"New York-Newark-Jersey City, NY-NJ-PA",2022-02-01,301.151
80,"Atlanta-Sandy Springs-Roswell, GA",2022-02-01,279.743
81,"Baltimore-Columbia-Towson, MD(6)",2022-02-01,286.243
82,"Detroit-Warren-Dearborn, MI",2022-02-01,258.721
83,"Houston-The Woodlands-Sugar Land, TX",2022-02-01,250.563
84,"Miami-Fort Lauderdale-West Palm Beach, FL",2022-02-01,302.92
85,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-02-01,281.402
86,"Phoenix-Mesa-Scottsdale, AZ(7)",2022-02-01,163.261
87,"San Francisco-Oakland-Hayward, CA",2022-02-01,320.195
88,"Seattle-Tacoma-Bellevue, WA",2022-02-01,310.078
89,"St. Louis, MO-IL",2022-02-01,256.458
90,Urban Alaska,2022-02-01,246.369
91,"Boston-Cambridge-Newton, MA-NH",2022-02-01,
92,"Dallas-Fort Worth-Arlington, TX",2022-02-01,
93,"Denver-Aurora-Lakewood, CO",2022-02-01,
94,"Minneapolis-St.Paul-Bloomington, MN-WI",2022-02-01,
95,"Riverside-San Bernardino-Ontario, CA(4)",2022-02-01,
96,"San Diego-Carlsbad, CA",2022-02-01,
97,"Tampa-St. Petersburg-Clearwater, FL(8)",2022-02-01,
98,Urban Hawaii,2022-02-01,
99,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2022-02-01,
100,U.S. city average,{year}-03-01,287.504
101,Region and area size(2),{year}-03-01,
102,Northeast,{year}-03-01,298.403
103,Northeast - Size Class A,{year}-03-01,300.145
104,Northeast - Size Class B/C(3),{year}-03-01,177.076
105,New England(4),{year}-03-01,114.952
