,Expenditure category,Date,Unadjusted CPI Index
0,All items,2016-01-01,236.916
1,Food,2016-01-01,248.631
2,Food at home,2016-01-01,242.017
3,Cereals and bakery products,2016-01-01,274.58
4,Cereals and cereal products,2016-01-01,231.964
5,Flour and prepared flour mixes,2016-01-01,245.8
6,Breakfast cereal(4),2016-01-01,226.156
7,"Rice, pasta, cornmeal(4)",2016-01-01,241.181
8,Rice(4)(5)(6),2016-01-01,165.145
9,Bakery products(4),2016-01-01,298.797
10,Bread(4)(5),2016-01-01,179.602
11,White bread(4)(6),2016-01-01,325.929
12,Bread other than white(4)(6),2016-01-01,346.033
13,"Fresh biscuits, rolls, muffins(5)",2016-01-01,178.295
14,"Cakes, cupcakes, and cookies",2016-01-01,283.762
15,Cookies(6),2016-01-01,270.189
16,Fresh cakes and cupcakes(4)(6),2016-01-01,300.418
17,Other bakery products,2016-01-01,265.977
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2016-01-01,292.994
19,"Crackers, bread, and cracker products(6)",2016-01-01,306.867
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2016-01-01,269.145
21,"Meats, poultry, fish, and eggs",2016-01-01,251.783
22,"Meats, poultry, and fish",2016-01-01,250.298
23,Meats,2016-01-01,254.215
24,Beef and veal,2016-01-01,303.652
25,Uncooked ground beef(4),2016-01-01,275.641
26,Uncooked beef roasts(4)(5),2016-01-01,221.825
27,Uncooked beef steaks(5),2016-01-01,203.533
28,Uncooked other beef and veal(4)(5),2016-01-01,230.377
29,Pork,2016-01-01,210.268
30,"Bacon, breakfast sausage, and related products(5)",2016-01-01,156.467
31,Bacon and related products(6),2016-01-01,286.999
32,Breakfast sausage and related products(5)(6),2016-01-01,144.608
33,Ham,2016-01-01,201.281
34,"Ham, excluding canned(6)",2016-01-01,223.543
35,Pork chops(4),2016-01-01,187.37
36,Other pork including roasts and picnics(5),2016-01-01,128.228
37,Other meats,2016-01-01,229.318
38,Frankfurters(6),2016-01-01,234.021
39,Lunchmeats(5)(6),2016-01-01,148.796
40,Lamb and organ meats(4)(6),2016-01-01,324.484
41,Lamb and mutton(4)(5)(6),2016-01-01,173.569
42,Poultry,2016-01-01,231.368
43,Chicken(4)(5),2016-01-01,147.767
44,Fresh whole chicken(4)(6),2016-01-01,246.03
45,Fresh and frozen chicken parts(4)(6),2016-01-01,219.896
46,Other poultry including turkey(5),2016-01-01,155.759
47,Fish and seafood,2016-01-01,282.355
48,Fresh fish and seafood(5),2016-01-01,172.3
49,Processed fish and seafood(5),2016-01-01,143.829
50,Shelf stable fish and seafood(4)(6),2016-01-01,202.177
51,Frozen fish and seafood(6),2016-01-01,301.624
52,Eggs,2016-01-01,274.002
53,Dairy and related products,2016-01-01,220.869
54,Milk(4)(5),2016-01-01,143.629
55,Fresh whole milk(6),2016-01-01,209.101
56,Fresh milk other than whole(5)(6),2016-01-01,146.654
57,Cheese and related products,2016-01-01,231.772
58,Ice cream and related products,2016-01-01,223.832
59,Other dairy and related products(4)(5),2016-01-01,147.501
60,Fruits and vegetables,2016-01-01,306.796
61,Fresh fruits and vegetables,2016-01-01,356.741
62,Fresh fruits,2016-01-01,364.494
63,Apples,2016-01-01,342.928
64,Bananas(4),2016-01-01,200.802
65,Citrus fruits(5),2016-01-01,218.298
66,"Oranges, including tangerines(6)",2016-01-01,441.884
67,Other fresh fruits(5),2016-01-01,131.697
68,Fresh vegetables,2016-01-01,347.25
69,Potatoes,2016-01-01,326.236
70,Lettuce,2016-01-01,328.236
71,Tomatoes(4),2016-01-01,397.785
72,Other fresh vegetables,2016-01-01,347.064
73,Processed fruits and vegetables(5),2016-01-01,158.742
74,Canned fruits and vegetables(5),2016-01-01,163.174
75,Canned fruits(5)(6),2016-01-01,159.446
76,Canned vegetables(5)(6),2016-01-01,170.366
77,Frozen fruits and vegetables(5),2016-01-01,147.622
78,Frozen vegetables(6),2016-01-01,202.692
79,Other processed fruits and vegetables including dried(5),2016-01-01,163.888
80,"Dried beans, peas, and lentils(4)(5)(6)",2016-01-01,203.374
81,Nonalcoholic beverages and beverage materials,2016-01-01,168.718
82,Juices and nonalcoholic drinks(5),2016-01-01,129.476
83,Carbonated drinks,2016-01-01,161.428
84,Frozen noncarbonated juices and drinks(4)(5),2016-01-01,174.259
85,Nonfrozen noncarbonated juices and drinks(5),2016-01-01,118.636
86,Beverage materials including coffee and tea(5),2016-01-01,119.971
87,Coffee,2016-01-01,203.038
88,Roasted coffee(6),2016-01-01,213.159
89,Instant and freeze dried coffee(4)(6),2016-01-01,196.453
90,Other beverage materials including tea(5),2016-01-01,129.233
91,Other food at home,2016-01-01,208.81
92,Sugar and sweets(4),2016-01-01,215.261
93,Sugar and artificial sweeteners,2016-01-01,190.185
94,Candy and chewing gum(4)(5),2016-01-01,144.334
95,Other sweets(5),2016-01-01,154.222
96,Fats and oils,2016-01-01,228.469
97,Butter and margarine(5),2016-01-01,204.838
98,Butter(6),2016-01-01,240.904
99,Margarine(6),2016-01-01,296.87
100,Salad dressing(5),2016-01-01,130.744
101,Other fats and oils including peanut butter(5),2016-01-01,158.393
102,Peanut butter(4)(5)(6),2016-01-01,157.887
103,Other foods,2016-01-01,222.674
104,Soups,2016-01-01,231.243
105,Frozen and freeze dried prepared foods(4),2016-01-01,168.308
106,Snacks(4),2016-01-01,251.932
107,"Spices, seasonings, condiments, sauces",2016-01-01,238.408
108,Salt and other seasonings and spices(5)(6),2016-01-01,151.325
109,"Olives, pickles, relishes(4)(5)(6)",2016-01-01,139.338
110,Sauces and gravies(5)(6),2016-01-01,138.432
111,Other condiments(6),2016-01-01,278.578
112,Baby food(4)(5),2016-01-01,154.889
113,Other miscellaneous foods(4)(5),2016-01-01,130.847
114,Prepared salads(4)(7)(6),2016-01-01,123.568
115,Food away from home(4),2016-01-01,259.958
116,Full service meals and snacks(4)(5),2016-01-01,161.392
117,Limited service meals and snacks(4)(5),2016-01-01,165.905
118,Food at employee sites and schools(5),2016-01-01,168.544
119,Food at elementary and secondary schools(4)(8)(6),2016-01-01,141.15
120,Food from vending machines and mobile vendors(4)(5),2016-01-01,147.755
121,Other food away from home(4)(5),2016-01-01,182.271
122,,2016-01-01,
123,Energy,2016-01-01,180.171
124,Energy commodities,2016-01-01,175.931
125,Fuel oil and other fuels,2016-01-01,221.019
126,Fuel oil(4),2016-01-01,195.029
127,"Propane, kerosene, and firewood(9)",2016-01-01,302.95
128,Motor fuel,2016-01-01,172.378
129,Gasoline (all types),2016-01-01,171.574
130,"Gasoline, unleaded regular(6)",2016-01-01,167.156
131,"Gasoline, unleaded midgrade(10)(6)",2016-01-01,186.168
132,"Gasoline, unleaded premium(6)",2016-01-01,187.59
133,Other motor fuels(5),2016-01-01,156.682
134,Energy services(11),2016-01-01,192.148
135,Electricity(11),2016-01-01,203.169
136,Utility (piped) gas service(11),2016-01-01,156.513
137,,2016-01-01,
138,All items less food and energy,2016-01-01,244.528
139,Commodities less food and energy commodities,2016-01-01,144.725
140,Household furnishings and supplies(12),2016-01-01,92.762
141,Window and floor coverings and other linens(4)(5),2016-01-01,61.37
142,Floor coverings(4)(5),2016-01-01,109.16
143,Window coverings(4)(5),2016-01-01,71.266
144,Other linens(4)(5),2016-01-01,48.08
145,Furniture and bedding(4),2016-01-01,114.132
146,Bedroom furniture(4),2016-01-01,130.975
147,"Living room, kitchen, and dining room furniture(4)(5)",2016-01-01,86.503
148,Other furniture(5),2016-01-01,73.425
149,Infants' furniture(4)(8)(6),2016-01-01,
150,Appliances(5),2016-01-01,78.301
151,Major appliances(5),2016-01-01,86.419
152,Laundry equipment(6),2016-01-01,96.699
153,Other appliances(4)(5),2016-01-01,67.221
154,Other household equipment and furnishings(5),2016-01-01,58.216
155,"Clocks, lamps, and decorator items(4)",2016-01-01,45.901
156,Indoor plants and flowers(13),2016-01-01,129.498
157,Dishes and flatware(4)(5),2016-01-01,56.526
158,Nonelectric cookware and tableware(5),2016-01-01,87.945
159,"Tools, hardware, outdoor equipment and supplies(5)",2016-01-01,90.357
160,"Tools, hardware and supplies(4)(5)",2016-01-01,98.518
161,Outdoor equipment and supplies(5),2016-01-01,86.416
162,Housekeeping supplies(4),2016-01-01,186.361
163,Household cleaning products(5),2016-01-01,119.022
164,Household paper products(4)(5),2016-01-01,169.792
165,Miscellaneous household products(4)(5),2016-01-01,117.727
166,Apparel,2016-01-01,121.878
167,Men's and boys' apparel,2016-01-01,117.184
168,Men's apparel,2016-01-01,120.304
169,"Men's suits, sport coats, and outerwear",2016-01-01,106.139
170,Men's furnishings,2016-01-01,152.554
171,Men's shirts and sweaters(5),2016-01-01,75.774
172,Men's pants and shorts,2016-01-01,122.81
173,Boys' apparel,2016-01-01,104.518
174,Women's and girls' apparel,2016-01-01,105.148
175,Women's apparel,2016-01-01,107.355
176,Women's outerwear,2016-01-01,111.136
177,Women's dresses,2016-01-01,106.391
178,Women's suits and separates(5),2016-01-01,74.96
179,"Women's underwear, nightwear, sportswear and accessories(5)",2016-01-01,103.212
180,Girls' apparel,2016-01-01,94.371
181,Footwear,2016-01-01,134.236
182,Men's footwear(4),2016-01-01,136.671
183,Boys' and girls' footwear,2016-01-01,147.475
184,Women's footwear,2016-01-01,125.739
185,Infants' and toddlers' apparel,2016-01-01,116.208
186,Jewelry and watches(9),2016-01-01,163.268
187,Watches(4)(9),2016-01-01,123.781
188,Jewelry(9),2016-01-01,170.841
189,Transportation commodities less motor fuel(12),2016-01-01,105.656
190,New vehicles,2016-01-01,147.456
191,New cars and trucks(5)(6),2016-01-01,102.208
192,New cars(6),2016-01-01,144.279
193,New trucks(14)(6),2016-01-01,156.133
194,Used cars and trucks,2016-01-01,142.668
195,Motor vehicle parts and equipment(4),2016-01-01,144.784
196,Tires(4),2016-01-01,127.05
197,Vehicle accessories other than tires(4)(5),2016-01-01,166.692
198,Vehicle parts and equipment other than tires(4)(6),2016-01-01,157.261
199,"Motor oil, coolant, and fluids(4)(6)",2016-01-01,370.615
200,Medical care commodities,2016-01-01,357.414
201,Medicinal drugs(4)(12),2016-01-01,116.819
202,Prescription drugs,2016-01-01,485.796
203,Nonprescription drugs(4)(12),2016-01-01,96.673
204,Medical equipment and supplies(4)(12),2016-01-01,99.319
205,Recreation commodities(12),2016-01-01,87.296
206,Video and audio products(12),2016-01-01,58.06
207,Televisions,2016-01-01,3.048
208,Other video equipment(5),2016-01-01,10.168
209,Audio equipment,2016-01-01,35.313
210,"Audio discs, tapes and other media(4)(5)",2016-01-01,88.524
211,Pets and pet products(4),2016-01-01,197.98
212,Pet food(4)(5)(6),2016-01-01,152.312
213,"Purchase of pets, pet supplies, accessories(4)(5)(6)",2016-01-01,113.064
214,Sporting goods(4),2016-01-01,113.404
215,Sports vehicles including bicycles(4),2016-01-01,146.444
216,Sports equipment,2016-01-01,84.723
217,Photographic equipment and supplies,2016-01-01,52.866
218,Film and photographic supplies(4)(5)(6),2016-01-01,
219,Photographic equipment(5)(6),2016-01-01,21.665
220,Recreational reading materials(4),2016-01-01,241.525
221,Newspapers and magazines(4)(5),2016-01-01,163.77
222,Recreational books(4)(5),2016-01-01,101.693
223,Other recreational goods(5),2016-01-01,45.727
224,Toys,2016-01-01,42.906
225,"Toys, games, hobbies and playground equipment(5)(6)",2016-01-01,51.827
226,"Sewing machines, fabric and supplies(4)(5)",2016-01-01,96.913
227,Music instruments and accessories(4)(5),2016-01-01,100.198
228,Education and communication commodities(12),2016-01-01,81.125
229,Educational books and supplies,2016-01-01,663.452
230,College textbooks(4)(15)(6),2016-01-01,228.798
231,Information technology commodities(12),2016-01-01,61.506
232,Personal computers and peripheral equipment(7),2016-01-01,45.424
233,Computer software and accessories(4)(5),2016-01-01,36.109
234,"Telephone hardware, calculators, and other consumer information items(4)(5)",2016-01-01,21.765
235,Alcoholic beverages,2016-01-01,241.535
236,Alcoholic beverages at home,2016-01-01,198.98
237,"Beer, ale, and other malt beverages at home",2016-01-01,218.554
238,Distilled spirits at home,2016-01-01,192.501
239,Whiskey at home(4)(6),2016-01-01,207.348
240,"Distilled spirits, excluding whiskey, at home(6)",2016-01-01,185.803
241,Wine at home,2016-01-01,168.923
242,Alcoholic beverages away from home(4),2016-01-01,332.985
243,"Beer, ale, and other malt beverages away from home(4)(5)(6)",2016-01-01,164.999
244,Wine away from home(4)(5)(6),2016-01-01,178.518
245,Distilled spirits away from home(4)(5)(6),2016-01-01,179.613
246,Other goods(12),2016-01-01,108.554
247,Tobacco and smoking products,2016-01-01,952.536
248,Cigarettes(5),2016-01-01,388.821
249,Tobacco products other than cigarettes(4)(5),2016-01-01,250.237
250,Personal care products(4),2016-01-01,163.313
251,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",2016-01-01,103.09
252,"Cosmetics, perfume, bath, nail preparations and implements(4)",2016-01-01,189.48
253,Miscellaneous personal goods(5),2016-01-01,79.803
254,"Stationery, stationery supplies, gift wrap(6)",2016-01-01,150.297
255,Infants' equipment(4)(8)(6),2016-01-01,84.079
256,Services less energy services,2016-01-01,305.803
257,Shelter,2016-01-01,283.498
258,Rent of shelter(16),2016-01-01,295.295
259,Rent of primary residence(11),2016-01-01,292.004
260,Lodging away from home(5),2016-01-01,149.009
261,"Housing at school, excluding board(11)(16)",2016-01-01,517.573
262,Other lodging away from home including hotels and motels,2016-01-01,304.414
263,Owners' equivalent rent of residences(11)(16),2016-01-01,290.884
264,Owners' equivalent rent of primary residence(11)(16),2016-01-01,290.842
265,Tenants' and household insurance(4)(5),2016-01-01,147.943
266,Water and sewer and trash collection services(5),2016-01-01,218.37
267,Water and sewerage maintenance(11),2016-01-01,504.402
